"iWine","iPurchase","PurchaseDate","DeliveryDate","StoreName","Currency","ExchangeRate","Price","NativePrice","NativePriceCurrency","Quantity","Remaining","OrderNumber","Delivered","Size","Vintage","Wine","Locale","Type","Color","Category","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"3331620","100000013","5/21/2019","8/8/2019","Bottleshop","USD","1","61.27","61.27","USD","1","0","OrderId:100000013","True","750ml","2018","Pierre-Yves Colin-Morey Chassagne-Montrachet Vieilles Vignes","France, Burgundy, Côte de Beaune, Chassagne-Montrachet","White","White","Dry","Pierre-Yves Colin-Morey","Chardonnay","Chardonnay","Vieilles Vignes","Unknown","France","Burgundy","Côte de Beaune","Chassagne-Montrachet"
"2247443","100000014","5/25/2019","2/9/2020","Mailer","USD","1","92.18","92.18","USD","1","0","OrderId:100000014","True","750ml","2013","Woodward Canyon Charbonneau","USA, Washington, Columbia Valley, Walla Walla Valley","Red","Red","Dry","Woodward Canyon","Red Bordeaux Blend","Red Bordeaux Blend","Charbonneau","Unknown","USA","Washington","Columbia Valley","Walla Walla Valley"
"3332474","100000015","5/1/2019","6/14/2019","Gift","USD","1","0.00","0.00","USD","1","0","OrderId:100000015","True","750ml","2016","Andrew Will Ciel du Cheval Vineyard","USA, Washington, Columbia Valley, Red Mountain","Red","Red","Dry","Andrew Will","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Ciel du Cheval Vineyard","USA","Washington","Columbia Valley","Red Mountain"
"3867095","100000016","5/11/2019","1/14/2020","Mailing List","USD","1","108.32","108.32","USD","1","0","OrderId:500000001","True","1.5L","2019","Hubert Lignier Chambolle-Musigny Les Bussieres","France, Burgundy, Côte de Nuits, Chambolle-Musigny","Red","Red","Dry","Hubert Lignier","Pinot Noir","Pinot Noir","Unknown","Les Bussieres","France","Burgundy","Côte de Nuits","Chambolle-Musigny"
"3084500","100000017","5/11/2019","1/26/2020","Mailing List","USD","1","36.19","36.19","USD","7","0","OrderId:500000001","True","750ml","2016","Cameron Pinot Noir Cuvée Renee Abbey Ridge","USA, Oregon, Willamette Valley","Red","Red","Dry","Cameron","Pinot Noir","Pinot Noir","Cuvée Renee","Abbey Ridge","USA","Oregon","Willamette Valley","Willamette Valley"
"834267","100000018","5/16/2019","3/24/2020","Winery Direct","USD","1","172.41","172.41","USD","2","0","OrderId:500000000","True","750ml","1989","Domaine Ponsot Griotte-Chambertin","France, Burgundy, Côte de Nuits, Griotte-Chambertin Grand Cru","Red","Red","Dry","Domaine Ponsot","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Griotte-Chambertin Grand Cru"
"3878196","100000019","5/11/2019","10/23/2019","Mailing List","USD","1","74.26","74.26","USD","1","0","OrderId:500000001","True","750ml","2019","Littorai Pinot Noir Savoy Vineyard","USA, California, North Coast, Anderson Valley","Red","Red","Dry","Littorai","Pinot Noir","Pinot Noir","Unknown","Savoy Vineyard","USA","California","North Coast","Anderson Valley"
"928568","100000020","5/7/2019","1/9/2020","Winery Direct","USD","1","472.04","472.04","USD","2","0","OrderId:500000002","True","750ml","2010","Domaine Comte Georges de Vogüé Musigny Cuvée Vieilles Vignes","France, Burgundy, Côte de Nuits, Musigny Grand Cru","Red","Red","Dry","Domaine Comte Georges de Vogüé","Pinot Noir","Pinot Noir","Cuvée Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Musigny Grand Cru"
"4901","100000021","5/7/2019","1/27/2020","Winery Direct","USD","1","64.90","64.90","USD","3","0","OrderId:500000002","True","750ml","1999","Joseph Drouhin Beaune 1er Cru Clos des Mouches Rouge","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Red","Red","Dry","Joseph Drouhin","Pinot Noir","Pinot Noir","Rouge","Clos des Mouches","France","Burgundy","Côte de Beaune","Beaune 1er Cru"
"2635678","100000022","5/7/2019","3/15/2020","Winery Direct","USD","1","292.71","292.71","USD","5","0","OrderId:500000002","True","750ml","2015","Domaine Dujac Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Red","Dry","Domaine Dujac","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"3038305","100000023","6/26/2019","8/25/2019","Gift","USD","1","0.00","0.00","USD","2","0","OrderId:100000023","True","750ml","2016","Acquiesce Grenache Blanc Methode Champenoise","USA, California, Central Valley, Lodi","White - Sparkling","White","Sparkling","Acquiesce","Grenache Blanc","Grenache","Methode Champenoise","Unknown","USA","California","Central Valley","Lodi"
"2992807","100000024","6/14/2019","3/14/2020","Mailing List","USD","1","25.09","25.09","USD","1","0","OrderId:500000003","True","750ml","2016","Galerie Cabernet Sauvignon Latro","USA, California, Sonoma County, Knights Valley","Red","Red","Dry","Galerie","Cabernet Sauvignon","Cabernet Sauvignon","Latro","Unknown","USA","California","Sonoma County","Knights Valley"
"2293523","100000025","6/10/2019","3/29/2020","Mailer","USD","1","46.12","46.12","USD","1","0","OrderId:500000005","True","750ml","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White - Sparkling","White","Sparkling","Roger Coulon","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"2293523","100000026","6/13/2019","7/24/2019","Astor Wines","USD","1","77.88","77.88","USD","2","0","OrderId:100000026","True","1.5L","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White - Sparkling","White","Sparkling","Roger Coulon","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"3510209","100000027","6/14/2019","4/15/2020","Mailing List","USD","1","21.51","21.51","USD","1","0","OrderId:500000003","True","375ml","1001","Bérêche et Fils Champagne Brut Réserve Vieilles Vignes","France, Champagne","White - Sparkling","White","Sparkling","Bérêche et Fils","Champagne Blend","Champagne Blend","Brut Réserve Vieilles Vignes","Unknown","France","Champagne","Unknown","Champagne"
"3866739","100000028","6/20/2019","2/11/2020","Mailing List","USD","1","57.64","57.64","USD","4","0","OrderId:500000004","True","750ml","2019","Simon Bize Savigny-lès-Beaune 1er Cru Les Marconnets","France, Burgundy, Côte de Beaune, Savigny-lès-Beaune 1er Cru","Red","Red","Dry","Simon Bize","Pinot Noir","Pinot Noir","Unknown","Les Marconnets","France","Burgundy","Côte de Beaune","Savigny-lès-Beaune 1er Cru"
"4087361","100000029","6/9/2019","8/14/2019","K&L Wine Merchants","USD","1","30.51","30.51","USD","10","0","OrderId:100000029","True","750ml","2019","Patricia Green Cellars Pinot Noir Medici Vineyard","USA, Oregon, Willamette Valley, Chehalem Mountains","Red","Red","Dry","Patricia Green Cellars","Pinot Noir","Pinot Noir","Unknown","Medici Vineyard","USA","Oregon","Willamette Valley","Chehalem Mountains"
"4551215","100000030","6/14/2019","4/17/2020","Mailing List","USD","1","155.02","155.02","USD","6","0","OrderId:500000003","True","1.5L","2019","E. Pira & Figli (Chiara Boschis) Barolo Mosconi","Italy, Piedmont, Langhe, Barolo","Red","Red","Dry","E. Pira & Figli (Chiara Boschis)","Nebbiolo","Nebbiolo","Unknown","Mosconi","Italy","Piedmont","Langhe","Barolo"
"2293523","100000031","6/10/2019","10/30/2019","Mailer","USD","1","37.59","37.59","USD","3","0","OrderId:500000005","True","750ml","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White - Sparkling","White","Sparkling","Roger Coulon","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"5435678","100000032","6/1/2019","7/3/2019","K&L Wine Merchants","USD","1","60.64","60.64","USD","2","0","OrderId:100000032","True","750ml","1001","Kobayashi Winery Pinot Noir Nikko Celilo Vineyard","USA, Washington, Columbia Valley","White - Sparkling","White","Sparkling","Kobayashi Winery","Pinot Noir","Pinot Noir","Nikko","Celilo Vineyard","USA","Washington","Columbia Valley","Columbia Valley"
"3038305","100000033","6/20/2019","5/4/2020","Mailing List","USD","1","31.28","31.28","USD","3","0","OrderId:500000004","True","750ml","2016","Acquiesce Grenache Blanc Methode Champenoise","USA, California, Central Valley, Lodi","White - Sparkling","White","Sparkling","Acquiesce","Grenache Blanc","Grenache","Methode Champenoise","Unknown","USA","California","Central Valley","Lodi"
"5243355","100000034","6/20/2019","8/19/2019","Liner & Elsen","USD","1","33.37","33.37","USD","1","0","OrderId:100000034","True","750ml","2019","Lucas Winery Zinfandel ZinStar Vineyard","USA, California, Central Valley, Lodi","Red","Red","Dry","Lucas Winery","Zinfandel","Zinfandel","Unknown","ZinStar Vineyard","USA","California","Central Valley","Lodi"
"3900346","100000035","6/2/2019","7/1/2019","K&L Wine Merchants","USD","1","87.10","87.10","USD","5","0","OrderId:100000035","True","750ml","2019","Markus Molitor Bernkasteler Badstube Riesling Auslese ** (Green Capsule)","Germany, Mosel Saar Ruwer","White - Off-dry","White","Dry","Markus Molitor","Riesling","Riesling","Auslese ** (Green Capsule)","Bernkasteler Badstube","Germany","Mosel Saar Ruwer","Unknown","Unknown"
"3510209","100000036","6/14/2019","7/4/2020","Mailing List","USD","1","50.58","50.58","USD","2","0","OrderId:500000003","True","750ml","1001","Bérêche et Fils Champagne Brut Réserve Vieilles Vignes","France, Champagne","White - Sparkling","White","Sparkling","Bérêche et Fils","Champagne Blend","Champagne Blend","Brut Réserve Vieilles Vignes","Unknown","France","Champagne","Unknown","Champagne"
"3866491","100000037","6/14/2019","7/19/2020","Mailing List","USD","1","518.02","518.02","USD","2","0","OrderId:500000003","True","750ml","2019","Domaine Comte Georges de Vogüé Musigny Cuvée Vieilles Vignes","France, Burgundy, Côte de Nuits, Musigny Grand Cru","Red","Red","Dry","Domaine Comte Georges de Vogüé","Pinot Noir","Pinot Noir","Cuvée Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Musigny Grand Cru"
"3616012","100000038","6/9/2019","9/5/2019","Gift","USD","1","0.00","0.00","USD","5","0","OrderId:100000038","True","750ml","2019","Patricia Green Cellars Pinot Noir Dijon 115 Freedom Hill Vineyard","USA, Oregon, Willamette Valley","Red","Red","Dry","Patricia Green Cellars","Pinot Noir","Pinot Noir","Dijon 115","Freedom Hill Vineyard","USA","Oregon","Willamette Valley","Willamette Valley"
"3796351","100000039","6/5/2019","6/30/2019","Flatiron Wines","USD","1","20.75","20.75","USD","3","0","OrderId:100000039","True","750ml","2019","Domaine Servin Chablis 1er Cru Les Forêts","France, Burgundy, Chablis, Chablis 1er Cru","White","White","Dry","Domaine Servin","Chardonnay","Chardonnay","Unknown","Les Forêts","France","Burgundy","Chablis","Chablis 1er Cru"
"2063361","100000040","6/14/2019","7/23/2020","Mailing List","USD","1","57.68","57.68","USD","3","0","OrderId:500000003","True","750ml","2014","Domaine Jamet Côtes du Rhône","France, Rhône, Northern Rhône, Côtes du Rhône","Red","Red","Dry","Domaine Jamet","Syrah","Syrah","Unknown","Unknown","France","Rhône","Northern Rhône","Côtes du Rhône"
"4153349","100000041","6/10/2019","7/9/2020","Mailer","USD","1","17.38","17.38","USD","4","0","OrderId:500000005","True","750ml","2019","Claire Hill Zinfandel North Ponderosa Vineyard","USA, California, Sierra Foothills, North Yuba","Red","Red","Dry","Claire Hill","Zinfandel","Zinfandel","Unknown","North Ponderosa Vineyard","USA","California","Sierra Foothills","North Yuba"
"5435678","100000042","6/20/2019","4/23/2020","Mailing List","USD","1","53.61","53.61","USD","1","0","OrderId:500000004","True","750ml","1001","Kobayashi Winery Pinot Noir Nikko Celilo Vineyard","USA, Washington, Columbia Valley","White - Sparkling","White","Sparkling","Kobayashi Winery","Pinot Noir","Pinot Noir","Nikko","Celilo Vineyard","USA","Washington","Columbia Valley","Columbia Valley"
"4582997","100000043","6/5/2019","7/23/2019","Chambers Street","USD","1","240.66","240.66","USD","1","0","OrderId:100000043","True","1.5L","1001","Egly-Ouriet Champagne Grand Cru Extra-Brut Rosé","France, Champagne, Champagne Grand Cru","Rosé - Sparkling","Rosé","Sparkling","Egly-Ouriet","Champagne Blend","Champagne Blend","Extra-Brut Rosé","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"1775505","100000044","6/18/2019","9/9/2019","Liner & Elsen","USD","1","104.78","104.78","USD","1","0","OrderId:100000044","True","750ml","2012","Domaine Stephane Magnien Clos Saint-Denis","France, Burgundy, Côte de Nuits, Clos Saint-Denis Grand Cru","Red","Red","Dry","Domaine Stephane Magnien","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos Saint-Denis Grand Cru"
"3332474","100000045","7/4/2019","12/12/2019","Cellar Allocation","USD","1","26.86","26.86","USD","4","0","OrderId:500000006","True","750ml","2016","Andrew Will Ciel du Cheval Vineyard","USA, Washington, Columbia Valley, Red Mountain","Red","Red","Dry","Andrew Will","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Ciel du Cheval Vineyard","USA","Washington","Columbia Valley","Red Mountain"
"1289917","100000046","7/4/2019","12/19/2019","Cellar Allocation","USD","1","213.37","213.37","USD","4","0","OrderId:500000006","True","750ml","2010","Alain Hudelot-Noëllat Vosne-Romanée 1er Cru Les Suchots","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Red","Dry","Alain Hudelot-Noëllat","Pinot Noir","Pinot Noir","Unknown","Les Suchots","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"3154108","100000047","7/22/2019","1/11/2020","Mailing List","USD","1","35.88","35.88","USD","3","0","OrderId:500000007","True","750ml","2017","Rene Rostaing Côte-Rôtie Cuvée Classique Ampodium","France, Rhône, Northern Rhône, Côte-Rôtie","Red","Red","Dry","Rene Rostaing","Syrah","Syrah","Cuvée Classique Ampodium","Unknown","France","Rhône","Northern Rhône","Côte-Rôtie"
"1456094","100000048","7/4/2019","11/19/2019","Cellar Allocation","USD","1","53.96","53.96","USD","1","0","OrderId:500000006","True","750ml","2010","Domaine Drouhin Oregon Pinot Noir Laurène","USA, Oregon, Willamette Valley, Dundee Hills","Red","Red","Dry","Domaine Drouhin Oregon","Pinot Noir","Pinot Noir","Laurène","Unknown","USA","Oregon","Willamette Valley","Dundee Hills"
"3543985","100000049","7/22/2019","5/3/2020","Mailing List","USD","1","67.64","67.64","USD","12","0","OrderId:500000007","True","750ml","2019","Ridge Monte Bello","USA, California, Santa Cruz Mountains","Red","Red","Dry","Ridge","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Monte Bello","USA","California","Santa Cruz Mountains","Santa Cruz Mountains"
"4097091","100000050","7/16/2019","7/31/2019","Vinopolis","USD","1","74.90","74.90","USD","1","0","OrderId:100000050","True","750ml","2019","Failla Gamay Noir","USA, Oregon, Willamette Valley, Eola - Amity Hills","Red","Red","Dry","Failla","Gamay Noir","Gamay","Unknown","Unknown","USA","Oregon","Willamette Valley","Eola - Amity Hills"
"2949072","100000051","7/21/2019","9/23/2019","WineBid","USD","1","126.59","126.59","USD","5","0","OrderId:100000051","True","750ml","2016","Domaine Drouhin Oregon Pinot Noir Louise","USA, Oregon, Willamette Valley, Dundee Hills","Red","Red","Dry","Domaine Drouhin Oregon","Pinot Noir","Pinot Noir","Louise","Unknown","USA","Oregon","Willamette Valley","Dundee Hills"
"2078582","100000052","7/4/2019","3/25/2020","Cellar Allocation","USD","1","60.14","60.14","USD","2","0","OrderId:500000006","True","750ml","2013","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","USA, California, Sonoma County, Russian River Valley","Red","Red","Dry","Williams Selyem","Pinot Noir","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley"
"9386","100000053","7/15/2019","9/1/2019","Chambers Street","USD","1","172.99","172.99","USD","3","0","OrderId:100000053","True","750ml","1996","Domaine Auguste Clape Cornas","France, Rhône, Northern Rhône, Cornas","Red","Red","Dry","Domaine Auguste Clape","Syrah","Syrah","Unknown","Unknown","France","Rhône","Northern Rhône","Cornas"
"3774870","100000054","7/22/2019","5/4/2020","Mailing List","USD","1","64.52","64.52","USD","7","0","OrderId:500000007","True","750ml","1001","Egly-Ouriet Champagne Les Prémices","France, Champagne","White - Sparkling","White","Sparkling","Egly-Ouriet","Champagne Blend","Champagne Blend","Unknown","Les Prémices","France","Champagne","Unknown","Champagne"
"1715943","100000055","7/22/2019","4/19/2020","Mailing List","USD","1","78.41","78.41","USD","2","0","OrderId:500000007","True","750ml","2011","Cameron Pinot Noir Abbey Ridge","USA, Oregon, Willamette Valley, Dundee Hills","Red","Red","Dry","Cameron","Pinot Noir","Pinot Noir","Unknown","Abbey Ridge","USA","Oregon","Willamette Valley","Dundee Hills"
"2454956","100000056","7/27/2019","9/27/2019","K&L Auctions","USD","1","29.47","29.47","USD","6","0","OrderId:100000056","True","750ml","2015","Rhys Pinot Noir Bearwallow Vineyard","USA, California, North Coast, Anderson Valley","Red","Red","Dry","Rhys","Pinot Noir","Pinot Noir","Unknown","Bearwallow Vineyard","USA","California","North Coast","Anderson Valley"
"3038305","100000057","7/4/2019","3/10/2020","Cellar Allocation","USD","1","30.31","30.31","USD","6","0","OrderId:500000006","True","750ml","2016","Acquiesce Grenache Blanc Methode Champenoise","USA, California, Central Valley, Lodi","White - Sparkling","White","Sparkling","Acquiesce","Grenache Blanc","Grenache","Methode Champenoise","Unknown","USA","California","Central Valley","Lodi"
"4298451","100000058","7/22/2019","2/15/2020","Mailing List","USD","1","105.56","105.56","USD","1","0","OrderId:500000007","True","1.5L","2013","Rhys Pinot Noir Family Farm Vineyard","USA, California, San Francisco Bay, San Mateo County","Red","Red","Dry","Rhys","Pinot Noir","Pinot Noir","Unknown","Family Farm Vineyard","USA","California","San Francisco Bay","San Mateo County"
"1599171","100000059","7/4/2019","5/22/2020","Cellar Allocation","USD","1","177.21","177.21","USD","1","0","OrderId:500000006","True","750ml","2012","Domaine Lignier-Michelot Morey-Saint-Denis 1er Cru Les Faconnières","France, Burgundy, Côte de Nuits, Morey-Saint-Denis 1er Cru","Red","Red","Dry","Domaine Lignier-Michelot","Pinot Noir","Pinot Noir","Unknown","Les Faconnières","France","Burgundy","Côte de Nuits","Morey-Saint-Denis 1er Cru"
"2176599","100000060","8/25/2019","10/18/2019","Liner & Elsen","USD","1","144.42","144.42","USD","1","0","OrderId:100000060","True","750ml","2013","Hirsch Vineyards Pinot Noir East Ridge","USA, California, Sonoma County, Sonoma Coast","Red","Red","Dry","Hirsch Vineyards","Pinot Noir","Pinot Noir","East Ridge","Unknown","USA","California","Sonoma County","Sonoma Coast"
"1930700","100000061","8/25/2019","12/29/2019","Winery Direct","USD","1","45.25","45.25","USD","1","0","OrderId:500000008","True","750ml","2012","Cameron Pinot Noir Abbey Ridge","USA, Oregon, Willamette Valley, Dundee Hills","Red","Red","Dry","Cameron","Pinot Noir","Pinot Noir","Unknown","Abbey Ridge","USA","Oregon","Willamette Valley","Dundee Hills"
"4442038","100000062","8/22/2019","10/12/2019","Bottleshop","USD","1","68.57","68.57","USD","3","0","OrderId:100000062","True","750ml","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs La Colline Inspirée","France, Champagne","White - Sparkling","White","Sparkling","Jacques Lassaigne","Chardonnay","Chardonnay","Extra Brut Blanc de Blancs La Colline Inspirée","Unknown","France","Champagne","Unknown","Champagne"
"502723","100000063","8/25/2019","12/8/2019","Winery Direct","USD","1","111.95","111.95","USD","1","0","OrderId:500000008","True","750ml","2006","Domaine Bruno Clair Bonnes Mares","France, Burgundy, Côte de Nuits, Bonnes Mares Grand Cru","Red","Red","Dry","Domaine Bruno Clair","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Bonnes Mares Grand Cru"
"2635678","100000064","8/24/2019","10/24/2019","Gift","USD","1","0.00","0.00","USD","3","0","OrderId:100000064","True","750ml","2015","Domaine Dujac Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Red","Dry","Domaine Dujac","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"1186851","100000065","8/23/2019","9/26/2019","Flatiron Wines","USD","1","333.83","333.83","USD","7","0","OrderId:100000065","True","750ml","2010","François Raveneau Chablis 1er Cru Montée de Tonnerre","France, Burgundy, Chablis, Chablis 1er Cru","White","White","Dry","François Raveneau","Chardonnay","Chardonnay","Unknown","Montée de Tonnerre","France","Burgundy","Chablis","Chablis 1er Cru"
"4377246","100000066","8/25/2019","6/14/2020","Winery Direct","USD","1","78.92","78.92","USD","1","0","OrderId:500000008","True","750ml","2020","Cameron Chardonnay Le Blanc Cuvee Liner & Elsen","USA, Oregon, Willamette Valley, Dundee Hills","White","White","Dry","Cameron","Chardonnay","Chardonnay","Le Blanc Cuvee Liner & Elsen","Unknown","USA","Oregon","Willamette Valley","Dundee Hills"
"1289917","100000067","8/10/2019","10/7/2019","Liner & Elsen","USD","1","214.75","214.75","USD","3","0","OrderId:100000067","True","750ml","2010","Alain Hudelot-Noëllat Vosne-Romanée 1er Cru Les Suchots","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Red","Dry","Alain Hudelot-Noëllat","Pinot Noir","Pinot Noir","Unknown","Les Suchots","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"201111","100000068","8/25/2019","6/21/2020","Winery Direct","USD","1","117.90","117.90","USD","3","0","OrderId:500000008","True","750ml","2004","Domaine Bruno Clair Gevrey-Chambertin 1er Cru Clos St. Jacques","France, Burgundy, Côte de Nuits, Gevrey-Chambertin 1er Cru","Red","Red","Dry","Domaine Bruno Clair","Pinot Noir","Pinot Noir","Unknown","Clos St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru"
"2682918","100000069","8/25/2019","1/10/2020","Winery Direct","USD","1","85.13","85.13","USD","4","0","OrderId:500000008","True","750ml","2016","Aubert Chardonnay Sonoma Coast","USA, California, Sonoma County, Sonoma Coast","White","White","Dry","Aubert","Chardonnay","Chardonnay","Unknown","Unknown","USA","California","Sonoma County","Sonoma Coast"
