"iConsumed","iWine","Type","Consumed","ConsumedYear","ConsumedMonth","ConsumedDay","Size","ShortType","Currency","Value","Price","Revenue","RevenueCurrency","ConsumptionNote","PurchaseNote","BottleNote","Location","Bin","Vintage","Wine","Locale","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"50000010","3852947","Rosé - Sparkling","8/22/2019","2019","8","22","750ml","Drank from my cellar","USD","74.06","74.06","0","USD","Anniversary dinner with Sam","OrderId:500000001","","Home Cellar","21-A","2020","Bérêche et Fils Champagne Campania Remensis Extra Brut","France, Champagne","Rosé","Sparkling","Champagne Blend","Champagne Blend","Campania Remensis Extra Brut","Unknown","France","Champagne","Unknown","Champagne"
"50000011","1308509","Red","10/19/2020","2020","10","19","750ml","Drank from my cellar","USD","241.43","241.43","0","USD","salad and leftovers with Sam and Kate and Josh","OrderId:500000000","","Off-site Storage","84-A","2010","Joseph Drouhin Vosne-Romanée 1er Cru Les Petits Monts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Petits Monts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000012","1308509","Red","11/13/2019","2019","11","13","750ml","Drank from my cellar","USD","241.43","241.43","0","USD","salad and leftovers with Sam and Iris and Theo","OrderId:500000000","","Home Cellar","15-A","2010","Joseph Drouhin Vosne-Romanée 1er Cru Les Petits Monts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Petits Monts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000013","1308509","Red","10/26/2019","2019","10","26","750ml","Drank from my cellar","USD","241.43","241.43","0","USD","paella with Sam and Iris and Theo","OrderId:500000000","","Off-site Storage","62-A","2010","Joseph Drouhin Vosne-Romanée 1er Cru Les Petits Monts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Petits Monts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000014","1308509","Red","12/6/2019","2019","12","6","750ml","Drank from my cellar","USD","241.43","241.43","0","USD","roast chicken with Sam","OrderId:500000000","","Kitchen","93-F","2010","Joseph Drouhin Vosne-Romanée 1er Cru Les Petits Monts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Petits Monts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000015","1308509","Red","10/21/2019","2019","10","21","750ml","Drank from my cellar","USD","241.43","241.43","0","USD","salad and leftovers with Sam","OrderId:500000000","","Off-site Storage","22-C","2010","Joseph Drouhin Vosne-Romanée 1er Cru Les Petits Monts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Petits Monts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000016","1186851","White","1/21/2025","2025","1","21","750ml","Drank from my cellar","USD","3295.94","3295.94","0","USD","","OrderId:500000001","","Home Cellar","14-A","2010","François Raveneau Chablis 1er Cru Montée de Tonnerre","France, Burgundy, Chablis, Chablis 1er Cru","White","Dry","Chardonnay","Chardonnay","Unknown","Montée de Tonnerre","France","Burgundy","Chablis","Chablis 1er Cru"
"50000017","1186851","White","4/9/2022","2022","4","9","750ml","Drank from my cellar","USD","3295.94","3295.94","0","USD","","OrderId:500000001","","Kitchen","82-C","2010","François Raveneau Chablis 1er Cru Montée de Tonnerre","France, Burgundy, Chablis, Chablis 1er Cru","White","Dry","Chardonnay","Chardonnay","Unknown","Montée de Tonnerre","France","Burgundy","Chablis","Chablis 1er Cru"
"50000018","1186851","White","4/28/2026","2026","4","28","750ml","Drank from my cellar","USD","3295.94","3295.94","0","USD","","OrderId:500000001","","Kitchen","03-E","2010","François Raveneau Chablis 1er Cru Montée de Tonnerre","France, Burgundy, Chablis, Chablis 1er Cru","White","Dry","Chardonnay","Chardonnay","Unknown","Montée de Tonnerre","France","Burgundy","Chablis","Chablis 1er Cru"
"50000019","1186851","White","9/9/2020","2020","9","9","750ml","Drank from my cellar","USD","3295.94","3295.94","0","USD","","OrderId:500000001","","Kitchen","89-C","2010","François Raveneau Chablis 1er Cru Montée de Tonnerre","France, Burgundy, Chablis, Chablis 1er Cru","White","Dry","Chardonnay","Chardonnay","Unknown","Montée de Tonnerre","France","Burgundy","Chablis","Chablis 1er Cru"
"50000020","1186851","White","12/4/2020","2020","12","4","750ml","Drank from my cellar","USD","3295.94","3295.94","0","USD","book club Friday — December 2020","OrderId:500000001","","Home Cellar","26-E","2010","François Raveneau Chablis 1er Cru Montée de Tonnerre","France, Burgundy, Chablis, Chablis 1er Cru","White","Dry","Chardonnay","Chardonnay","Unknown","Montée de Tonnerre","France","Burgundy","Chablis","Chablis 1er Cru"
"50000021","1186851","White","1/30/2024","2024","1","30","750ml","Drank from my cellar","USD","3295.94","3295.94","0","USD","","OrderId:500000001","","Home Cellar","09-A","2010","François Raveneau Chablis 1er Cru Montée de Tonnerre","France, Burgundy, Chablis, Chablis 1er Cru","White","Dry","Chardonnay","Chardonnay","Unknown","Montée de Tonnerre","France","Burgundy","Chablis","Chablis 1er Cru"
"50000022","2293523","White - Sparkling","6/17/2019","2019","6","17","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","tacos with Sam","OrderId:100000008","","Off-site Storage","","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000023","2293523","White - Sparkling","6/5/2019","2019","6","5","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","roast chicken with Sam and Kate and Josh","OrderId:100000008","","Kitchen","57-E","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000024","2293523","White - Sparkling","6/28/2019","2019","6","28","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","salad and leftovers with Sam and Iris and Theo","OrderId:100000008","","Home Cellar","89-A","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000025","2293523","White - Sparkling","6/24/2019","2019","6","24","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","book club Friday — December 2019","OrderId:100000008","","Off-site Storage","09-F","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000026","2293523","White - Sparkling","6/19/2019","2019","6","19","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","burgers with Sam and Iris and Theo","OrderId:100000008","","Off-site Storage","48-F","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000027","2293523","White - Sparkling","6/19/2019","2019","6","19","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","Dinner at Higgins with Sam","OrderId:100000008","","Off-site Storage","","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000028","2293523","White - Sparkling","6/14/2019","2019","6","14","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","grilled salmon with Sam and Iris and Theo","OrderId:100000008","","Home Cellar","21-C","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000029","2293523","White - Sparkling","6/10/2019","2019","6","10","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","book club Friday — July 2019","OrderId:100000008","","Home Cellar","28-E","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000030","2293523","White - Sparkling","6/23/2019","2019","6","23","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","book club Friday — September 2019","OrderId:100000008","","Home Cellar","95-C","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000031","2293523","White - Sparkling","6/14/2019","2019","6","14","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","tacos with Sam","OrderId:100000008","","Off-site Storage","68-F","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000032","2293523","White - Sparkling","6/12/2019","2019","6","12","750ml","Drank from my cellar","USD","36.60","36.60","0","USD","salad and leftovers with Sam and Iris and Theo","OrderId:100000008","","Off-site Storage","35-D","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000033","2376876","Red","4/12/2020","2020","4","12","750ml","Drank from my cellar","USD","68.91","68.91","0","USD","duck breast with Sam","OrderId:500000000","","Kitchen","41-A","2014","Domaine Stephane Magnien Clos Saint-Denis","France, Burgundy, Côte de Nuits, Clos Saint-Denis Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos Saint-Denis Grand Cru"
"50000034","882264","White - Sparkling","7/15/2019","2019","7","15","750ml","Drank from my cellar","USD","0.00","0.00","0","USD","salad and leftovers with Sam and Iris and Theo","OrderId:100000010","","Home Cellar","67-D","1001","Egly-Ouriet Champagne Grand Cru VP","France, Champagne, Champagne Grand Cru","White","Sparkling","Champagne Blend","Champagne Blend","VP","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000035","882264","White - Sparkling","7/17/2019","2019","7","17","750ml","Drank from my cellar","USD","0.00","0.00","0","USD","ramen with Sam and Iris and Theo","OrderId:100000010","","Home Cellar","11-E","1001","Egly-Ouriet Champagne Grand Cru VP","France, Champagne, Champagne Grand Cru","White","Sparkling","Champagne Blend","Champagne Blend","VP","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000036","882264","White - Sparkling","7/26/2019","2019","7","26","750ml","Drank from my cellar","USD","0.00","0.00","0","USD","","OrderId:100000010","","Home Cellar","67-C","1001","Egly-Ouriet Champagne Grand Cru VP","France, Champagne, Champagne Grand Cru","White","Sparkling","Champagne Blend","Champagne Blend","VP","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000037","3834454","Red","7/10/2019","2019","7","10","750ml","Drank from my cellar","USD","321.32","321.32","0","USD","weeknight pasta with Sam","OrderId:100000011","","Home Cellar","49-B","2019","Domaine Armand Rousseau Père et Fils Gevrey-Chambertin Clos du Château","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Clos du Château","France","Burgundy","Côte de Nuits","Gevrey-Chambertin"
"50000038","3834454","Red","8/2/2019","2019","8","2","750ml","Drank from my cellar","USD","321.32","321.32","0","USD","Tuesday risotto with Sam and Iris and Theo","OrderId:100000011","","Home Cellar","","2019","Domaine Armand Rousseau Père et Fils Gevrey-Chambertin Clos du Château","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Clos du Château","France","Burgundy","Côte de Nuits","Gevrey-Chambertin"
"50000039","3834454","Red","8/11/2019","2019","8","11","750ml","Drank from my cellar","USD","321.32","321.32","0","USD","porchetta with Sam and Mira","OrderId:100000011","","Home Cellar","58-E","2019","Domaine Armand Rousseau Père et Fils Gevrey-Chambertin Clos du Château","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Clos du Château","France","Burgundy","Côte de Nuits","Gevrey-Chambertin"
"50000040","3834454","Red","7/12/2019","2019","7","12","750ml","Drank from my cellar","USD","321.32","321.32","0","USD","roast chicken with Sam and Iris and Theo","OrderId:100000011","","Home Cellar","46-D","2019","Domaine Armand Rousseau Père et Fils Gevrey-Chambertin Clos du Château","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Clos du Château","France","Burgundy","Côte de Nuits","Gevrey-Chambertin"
"50000041","4635721","White - Sparkling","1/13/2020","2020","1","13","375ml","Drank from my cellar","USD","27.99","27.99","0","USD","weeknight pasta with Sam and Iris and Theo","OrderId:500000002","","Home Cellar","49-D","1001","Krug Champagne Brut Grande Cuvée Edition 171eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 171eme","Unknown","France","Champagne","Unknown","Champagne"
"50000042","4635721","White - Sparkling","9/1/2020","2020","9","1","375ml","Drank from my cellar","USD","27.99","27.99","0","USD","roast chicken with Sam and Iris and Theo","OrderId:500000002","","Home Cellar","82-B","1001","Krug Champagne Brut Grande Cuvée Edition 171eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 171eme","Unknown","France","Champagne","Unknown","Champagne"
"50000043","4635721","White - Sparkling","10/10/2020","2020","10","10","375ml","Drank from my cellar","USD","27.99","27.99","0","USD","","OrderId:500000002","","Home Cellar","06-B","1001","Krug Champagne Brut Grande Cuvée Edition 171eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 171eme","Unknown","France","Champagne","Unknown","Champagne"
"50000044","4635721","White - Sparkling","1/8/2022","2022","1","8","375ml","Drank from my cellar","USD","27.99","27.99","0","USD","paella with Sam and Iris and Theo and Mira","OrderId:500000002","","Home Cellar","28-F","1001","Krug Champagne Brut Grande Cuvée Edition 171eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 171eme","Unknown","France","Champagne","Unknown","Champagne"
"50000045","3331620","White","8/9/2019","2019","8","9","750ml","Drank from my cellar","USD","61.27","61.27","0","USD","grilled salmon with Sam and Iris and Theo","OrderId:100000013","","Home Cellar","36-F","2018","Pierre-Yves Colin-Morey Chassagne-Montrachet Vieilles Vignes","France, Burgundy, Côte de Beaune, Chassagne-Montrachet","White","Dry","Chardonnay","Chardonnay","Vieilles Vignes","Unknown","France","Burgundy","Côte de Beaune","Chassagne-Montrachet"
"50000046","2247443","Red","8/4/2020","2020","8","4","750ml","Drank from my cellar","USD","92.18","92.18","0","USD","book club Friday — August 2021","OrderId:100000014","","Off-site Storage","11-F","2013","Woodward Canyon Charbonneau","USA, Washington, Columbia Valley, Walla Walla Valley","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Charbonneau","Unknown","USA","Washington","Columbia Valley","Walla Walla Valley"
"50000047","3332474","Red","7/11/2019","2019","7","11","750ml","Drank from my cellar","USD","0.00","0.00","0","USD","","OrderId:100000015","","Off-site Storage","46-D","2016","Andrew Will Ciel du Cheval Vineyard","USA, Washington, Columbia Valley, Red Mountain","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Ciel du Cheval Vineyard","USA","Washington","Columbia Valley","Red Mountain"
"50000048","3867095","Red","2/7/2020","2020","2","7","1.5L","Drank from my cellar","USD","108.32","108.32","0","USD","Tuesday risotto with Sam and Iris and Theo","OrderId:500000001","","Home Cellar","21-F","2019","Hubert Lignier Chambolle-Musigny Les Bussieres","France, Burgundy, Côte de Nuits, Chambolle-Musigny","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Bussieres","France","Burgundy","Côte de Nuits","Chambolle-Musigny"
"50000049","3084500","Red","3/19/2020","2020","3","19","750ml","Drank from my cellar","USD","36.19","36.19","0","USD","book club Friday — October 2020","OrderId:500000001","","Kitchen","53-C","2016","Cameron Pinot Noir Cuvée Renee Abbey Ridge","USA, Oregon, Willamette Valley","Red","Dry","Pinot Noir","Pinot Noir","Cuvée Renee","Abbey Ridge","USA","Oregon","Willamette Valley","Willamette Valley"
"50000050","3084500","Red","3/8/2020","2020","3","8","750ml","Drank from my cellar","USD","36.19","36.19","0","USD","porchetta with Sam","OrderId:500000001","","Kitchen","13-D","2016","Cameron Pinot Noir Cuvée Renee Abbey Ridge","USA, Oregon, Willamette Valley","Red","Dry","Pinot Noir","Pinot Noir","Cuvée Renee","Abbey Ridge","USA","Oregon","Willamette Valley","Willamette Valley"
"50000051","3084500","Red","5/2/2020","2020","5","2","750ml","Drank from my cellar","USD","36.19","36.19","0","USD","lamb chops with Sam and Iris and Theo","OrderId:500000001","","Home Cellar","94-B","2016","Cameron Pinot Noir Cuvée Renee Abbey Ridge","USA, Oregon, Willamette Valley","Red","Dry","Pinot Noir","Pinot Noir","Cuvée Renee","Abbey Ridge","USA","Oregon","Willamette Valley","Willamette Valley"
"50000052","3084500","Red","2/14/2020","2020","2","14","750ml","Drank from my cellar","USD","36.19","36.19","0","USD","tacos with Sam and Iris and Theo","OrderId:500000001","","Off-site Storage","09-E","2016","Cameron Pinot Noir Cuvée Renee Abbey Ridge","USA, Oregon, Willamette Valley","Red","Dry","Pinot Noir","Pinot Noir","Cuvée Renee","Abbey Ridge","USA","Oregon","Willamette Valley","Willamette Valley"
"50000053","3084500","Red","4/16/2020","2020","4","16","750ml","Drank from my cellar","USD","36.19","36.19","0","USD","","OrderId:500000001","","Off-site Storage","35-F","2016","Cameron Pinot Noir Cuvée Renee Abbey Ridge","USA, Oregon, Willamette Valley","Red","Dry","Pinot Noir","Pinot Noir","Cuvée Renee","Abbey Ridge","USA","Oregon","Willamette Valley","Willamette Valley"
"50000054","3084500","Red","5/24/2020","2020","5","24","750ml","Drank from my cellar","USD","36.19","36.19","0","USD","lamb chops with Sam and Iris and Theo","OrderId:500000001","","Home Cellar","","2016","Cameron Pinot Noir Cuvée Renee Abbey Ridge","USA, Oregon, Willamette Valley","Red","Dry","Pinot Noir","Pinot Noir","Cuvée Renee","Abbey Ridge","USA","Oregon","Willamette Valley","Willamette Valley"
"50000055","3084500","Red","6/24/2023","2023","6","24","750ml","Drank from my cellar","USD","36.19","36.19","0","USD","","OrderId:500000001","","Off-site Storage","07-E","2016","Cameron Pinot Noir Cuvée Renee Abbey Ridge","USA, Oregon, Willamette Valley","Red","Dry","Pinot Noir","Pinot Noir","Cuvée Renee","Abbey Ridge","USA","Oregon","Willamette Valley","Willamette Valley"
"50000056","834267","Red","10/15/2024","2024","10","15","750ml","Drank from my cellar","USD","172.41","172.41","0","USD","","OrderId:500000000","","Kitchen","54-B","1989","Domaine Ponsot Griotte-Chambertin","France, Burgundy, Côte de Nuits, Griotte-Chambertin Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Griotte-Chambertin Grand Cru"
"50000057","834267","Red","9/26/2021","2021","9","26","750ml","Drank from my cellar","USD","172.41","172.41","0","USD","","OrderId:500000000","","Home Cellar","15-C","1989","Domaine Ponsot Griotte-Chambertin","France, Burgundy, Côte de Nuits, Griotte-Chambertin Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Griotte-Chambertin Grand Cru"
"50000058","3878196","Red","8/13/2022","2022","8","13","750ml","Drank from my cellar","USD","74.26","74.26","0","USD","","OrderId:500000001","","Off-site Storage","83-F","2019","Littorai Pinot Noir Savoy Vineyard","USA, California, North Coast, Anderson Valley","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Savoy Vineyard","USA","California","North Coast","Anderson Valley"
"50000059","928568","Red","8/19/2023","2023","8","19","750ml","Drank from my cellar","USD","472.04","472.04","0","USD","","OrderId:500000002","","Home Cellar","96-A","2010","Domaine Comte Georges de Vogüé Musigny Cuvée Vieilles Vignes","France, Burgundy, Côte de Nuits, Musigny Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Cuvée Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Musigny Grand Cru"
"50000060","928568","Red","9/12/2020","2020","9","12","750ml","Drank from my cellar","USD","472.04","472.04","0","USD","lamb chops with Sam and book club","OrderId:500000002","","Home Cellar","92-B","2010","Domaine Comte Georges de Vogüé Musigny Cuvée Vieilles Vignes","France, Burgundy, Côte de Nuits, Musigny Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Cuvée Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Musigny Grand Cru"
"50000061","4901","Red","6/1/2023","2023","6","1","750ml","Drank from my cellar","USD","64.90","64.90","0","USD","","OrderId:500000002","","Home Cellar","92-D","1999","Joseph Drouhin Beaune 1er Cru Clos des Mouches Rouge","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Rouge","Clos des Mouches","France","Burgundy","Côte de Beaune","Beaune 1er Cru"
"50000062","4901","Red","5/7/2021","2021","5","7","750ml","Drank from my cellar","USD","64.90","64.90","0","USD","book club Friday — May 2021","OrderId:500000002","","Off-site Storage","29-F","1999","Joseph Drouhin Beaune 1er Cru Clos des Mouches Rouge","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Rouge","Clos des Mouches","France","Burgundy","Côte de Beaune","Beaune 1er Cru"
"50000063","4901","Red","10/9/2025","2025","10","9","750ml","Drank from my cellar","USD","64.90","64.90","0","USD","","OrderId:500000002","","Home Cellar","92-A","1999","Joseph Drouhin Beaune 1er Cru Clos des Mouches Rouge","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Rouge","Clos des Mouches","France","Burgundy","Côte de Beaune","Beaune 1er Cru"
"50000064","2635678","Red","4/5/2021","2021","4","5","750ml","Drank from my cellar","USD","292.71","292.71","0","USD","Tuesday risotto with Sam","OrderId:500000002","","Off-site Storage","92-F","2015","Domaine Dujac Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000065","2635678","Red","2/2/2024","2024","2","2","750ml","Drank from my cellar","USD","292.71","292.71","0","USD","","OrderId:500000002","","Home Cellar","34-A","2015","Domaine Dujac Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
