"iInventory","Pending","Barcode","WineBarcode","Price","Size","iWine","Type","Vintage","Wine","Producer","Varietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","Note","StoreName","PurchaseDate","PurchaseNote","Location","Bin"
"200000605","0","0200000605","W3208698_1.5L","193.36","1.5L","3208698","Red","2008","Egly-Ouriet Coteaux Champenois Cuvée des Grands Côtés Vieilles Vignes Rouge Ambonnay","Egly-Ouriet","Pinot Noir","Cuvée des Grands Côtés Vieilles Vignes Rouge","Ambonnay","France","Champagne","Unknown","Coteaux Champenois","","Flatiron Wines","5/23/2024","OrderId:100000219","Closet Cooler","03-C"
"200000607","0","0200000607","W5363184_1.5L","183.85","1.5L","5363184","Rosé - Sparkling","2021","Bérêche et Fils Champagne Campania Remensis Extra Brut","Bérêche et Fils","Champagne Blend","Campania Remensis Extra Brut","Unknown","France","Champagne","Unknown","Champagne","","Astor Wines","5/19/2024","OrderId:100000220","Closet Cooler","33-A"
"200000609","0","0200000609","W5049666_750ml","272.87","750ml","5049666","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) 48 mois Les Maillons","Ulysse Collin","Pinot Noir","Blanc de Noirs Extra Brut (2019) 48 mois","Les Maillons","France","Champagne","Unknown","Champagne","","K&L Auctions","5/22/2024","OrderId:100000221","Apartment Cellar","45-A"
"200000612","0","0200000612","W5049666_750ml","272.87","750ml","5049666","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) 48 mois Les Maillons","Ulysse Collin","Pinot Noir","Blanc de Noirs Extra Brut (2019) 48 mois","Les Maillons","France","Champagne","Unknown","Champagne","","K&L Auctions","5/22/2024","OrderId:100000221","Closet Cooler","83-C"
"200000613","1","0200000613","W68140_750ml","61.87","750ml","68140","Red","1996","Domaine Bruno Clair Morey-Saint-Denis En la Rue de Vergy","Domaine Bruno Clair","Pinot Noir","Unknown","En la Rue de Vergy","France","Burgundy","Côte de Nuits","Morey-Saint-Denis","","Chambers Street","5/6/2024","OrderId:100000222","(pending)",""
"200000614","1","0200000614","W68140_750ml","61.87","750ml","68140","Red","1996","Domaine Bruno Clair Morey-Saint-Denis En la Rue de Vergy","Domaine Bruno Clair","Pinot Noir","Unknown","En la Rue de Vergy","France","Burgundy","Côte de Nuits","Morey-Saint-Denis","","Chambers Street","5/6/2024","OrderId:100000222","(pending)",""
"200000615","0","0200000615","W929699_750ml","377.61","750ml","929699","Red","2010","Domaine Méo-Camuzet Clos Vougeot","Domaine Méo-Camuzet","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos Vougeot Grand Cru","","Astor Wines","5/26/2024","OrderId:100000223","Closet Cooler","11-F"
"200000616","0","0200000616","W929699_750ml","377.61","750ml","929699","Red","2010","Domaine Méo-Camuzet Clos Vougeot","Domaine Méo-Camuzet","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos Vougeot Grand Cru","","Astor Wines","5/26/2024","OrderId:100000223","Closet Cooler","40-A"
"200000617","0","0200000617","W929699_750ml","377.61","750ml","929699","Red","2010","Domaine Méo-Camuzet Clos Vougeot","Domaine Méo-Camuzet","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos Vougeot Grand Cru","","Astor Wines","5/26/2024","OrderId:100000223","Closet Cooler","47-C"
"200000625","0","0200000625","W2882411_750ml","305.87","750ml","2882411","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 166eme","Krug","Champagne Blend","Brut Grande Cuvée Edition 166eme","Unknown","France","Champagne","Unknown","Champagne","","Winery Direct","5/15/2024","OrderId:500000010","Closet Cooler",""
"200000626","0","0200000626","W2882411_750ml","305.87","750ml","2882411","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 166eme","Krug","Champagne Blend","Brut Grande Cuvée Edition 166eme","Unknown","France","Champagne","Unknown","Champagne","","Winery Direct","5/15/2024","OrderId:500000010","Closet Cooler","95-C"
"200000631","0","0200000631","W1073208_750ml","283.79","750ml","1073208","Red","2009","Joseph Drouhin Griotte-Chambertin","Joseph Drouhin","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Griotte-Chambertin Grand Cru","","K&L Auctions","6/25/2024","OrderId:100000227","Closet Cooler","74-E"
"200000633","0","0200000633","W1397243_750ml","0.00","750ml","1397243","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut Les Maillons","Ulysse Collin","Pinot Noir","Blanc de Noirs Extra Brut","Les Maillons","France","Champagne","Unknown","Champagne","","Gift","6/2/2024","OrderId:100000229","Apartment Cellar","69-D"
"200000634","0","0200000634","W4442038_750ml","88.59","750ml","4442038","White - Sparkling","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs La Colline Inspirée","Jacques Lassaigne","Chardonnay","Extra Brut Blanc de Blancs La Colline Inspirée","Unknown","France","Champagne","Unknown","Champagne","","Winery Direct","6/27/2024","OrderId:500000011","Apartment Cellar","96-B"
"200000638","0","0200000638","W4225693_750ml","97.90","750ml","4225693","Red","2017","Podere Ruggeri Corsini Barolo","Podere Ruggeri Corsini","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Barolo","","Winery Direct","6/27/2024","OrderId:500000011","Closet Cooler","75-D"
"200000639","0","0200000639","W4225693_750ml","97.90","750ml","4225693","Red","2017","Podere Ruggeri Corsini Barolo","Podere Ruggeri Corsini","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Barolo","","Winery Direct","6/27/2024","OrderId:500000011","Apartment Cellar","77-A"
"200000640","0","0200000640","W5040505_750ml","85.53","750ml","5040505","Red","2023","Ridge Cabernet Sauvignon Estate","Ridge","Cabernet Sauvignon","Estate","Unknown","USA","California","Santa Cruz Mountains","Santa Cruz Mountains","","Chambers Street","6/9/2024","OrderId:100000233","Apartment Cellar","06-E"
"200000641","0","0200000641","W5040505_750ml","85.53","750ml","5040505","Red","2023","Ridge Cabernet Sauvignon Estate","Ridge","Cabernet Sauvignon","Estate","Unknown","USA","California","Santa Cruz Mountains","Santa Cruz Mountains","","Chambers Street","6/9/2024","OrderId:100000233","Apartment Cellar",""
"200000642","0","0200000642","W3811649_750ml","102.93","750ml","3811649","White","2019","Maison Albert Bichot Chablis Grand Cru Les Clos Domaine Long-Depaquit","Maison Albert Bichot","Chardonnay","Domaine Long-Depaquit","Les Clos","France","Burgundy","Chablis","Chablis Grand Cru","nicked capsule","WineBid","6/11/2024","OrderId:100000234","Apartment Cellar","33-E"
"200000644","0","0200000644","W4271968_750ml","131.31","750ml","4271968","White - Sparkling","2015","Bollinger Champagne La Grande Année","Bollinger","Champagne Blend","La Grande Année","Unknown","France","Champagne","Unknown","Champagne","","Bottle Barn","6/16/2024","OrderId:100000235","Apartment Cellar","13-E"
"200000645","0","0200000645","W4924156_750ml","60.37","750ml","4924156","Red","2022","Patricia Green Cellars Pinot Noir Ridgecrest Vineyard","Patricia Green Cellars","Pinot Noir","Unknown","Ridgecrest Vineyard","USA","Oregon","Willamette Valley","Ribbon Ridge","","Flatiron Wines","6/5/2024","OrderId:100000236","Apartment Cellar","43-B"
"200000646","0","0200000646","W4924156_750ml","60.37","750ml","4924156","Red","2022","Patricia Green Cellars Pinot Noir Ridgecrest Vineyard","Patricia Green Cellars","Pinot Noir","Unknown","Ridgecrest Vineyard","USA","Oregon","Willamette Valley","Ribbon Ridge","","Flatiron Wines","6/5/2024","OrderId:100000236","Apartment Cellar","05-A"
"200000647","0","0200000647","W5250297_750ml","40.07","750ml","5250297","White","2023","Camille Thiriet Bourgogne-Aligoté du Jardin","Camille Thiriet","Aligoté","du Jardin","Unknown","France","Burgundy","Unknown","Bourgogne-Aligoté","","Winery Direct","6/27/2024","OrderId:500000011","Closet Cooler",""
"200000648","0","0200000648","W5139431_375ml","31.43","375ml","5139431","White - Sparkling","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","Elise Dechannes","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne","","Chambers Street","6/14/2024","OrderId:100000238","Apartment Cellar","57-A"
"200000649","0","0200000649","W5214636_750ml","91.46","750ml","5214636","Red","2023","Henri Magnien Gevrey-Chambertin 1er Cru Estournelles-St.-Jacques","Henri Magnien","Pinot Noir","Unknown","Estournelles-St.-Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Chambers Street","6/17/2024","OrderId:100000239","Apartment Cellar","96-D"
"200000650","0","0200000650","W5214636_750ml","91.46","750ml","5214636","Red","2023","Henri Magnien Gevrey-Chambertin 1er Cru Estournelles-St.-Jacques","Henri Magnien","Pinot Noir","Unknown","Estournelles-St.-Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Chambers Street","6/17/2024","OrderId:100000239","Apartment Cellar","14-C"
"200000651","0","0200000651","W442498_750ml","333.37","750ml","442498","Red","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Bruno Giacosa","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","","Chambers Street","6/9/2024","OrderId:100000240","Closet Cooler","90-E"
"200000652","0","0200000652","W442498_750ml","333.37","750ml","442498","Red","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Bruno Giacosa","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","","Chambers Street","6/9/2024","OrderId:100000240","Closet Cooler",""
"200000653","0","0200000653","W442498_750ml","333.37","750ml","442498","Red","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Bruno Giacosa","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","","Chambers Street","6/9/2024","OrderId:100000240","Closet Cooler","64-F"
"200000654","0","0200000654","W442498_750ml","333.37","750ml","442498","Red","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Bruno Giacosa","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","","Chambers Street","6/9/2024","OrderId:100000240","Apartment Cellar","94-A"
"200000655","0","0200000655","W442498_750ml","333.37","750ml","442498","Red","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Bruno Giacosa","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","","Chambers Street","6/9/2024","OrderId:100000240","Apartment Cellar","23-C"
"200000656","0","0200000656","W442498_750ml","333.37","750ml","442498","Red","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Bruno Giacosa","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","","Chambers Street","6/9/2024","OrderId:100000240","Apartment Cellar","66-C"
"200000657","0","0200000657","W442498_750ml","333.37","750ml","442498","Red","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Bruno Giacosa","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","","Chambers Street","6/9/2024","OrderId:100000240","Closet Cooler","04-D"
"200000658","0","0200000658","W442498_750ml","333.37","750ml","442498","Red","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Bruno Giacosa","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo","","Chambers Street","6/9/2024","OrderId:100000240","Closet Cooler","96-A"
"200000659","0","0200000659","W4963582_750ml","93.65","750ml","4963582","Red","2022","Williams Selyem Pinot Noir Williams Selyem Estate Vineyard","Williams Selyem","Pinot Noir","Unknown","Williams Selyem Estate Vineyard","USA","California","Sonoma County","Russian River Valley","","Liner & Elsen","6/11/2024","OrderId:100000241","Apartment Cellar","34-B"
"200000660","0","0200000660","W4963582_750ml","93.65","750ml","4963582","Red","2022","Williams Selyem Pinot Noir Williams Selyem Estate Vineyard","Williams Selyem","Pinot Noir","Unknown","Williams Selyem Estate Vineyard","USA","California","Sonoma County","Russian River Valley","","Liner & Elsen","6/11/2024","OrderId:100000241","Apartment Cellar","24-D"
"200000661","0","0200000661","W4969609_750ml","267.28","750ml","4969609","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","Ulysse Collin","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne","","Chambers Street","7/17/2024","OrderId:100000242","Closet Cooler",""
"200000663","0","0200000663","W4969609_750ml","267.28","750ml","4969609","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","Ulysse Collin","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne","","Chambers Street","7/17/2024","OrderId:100000242","Apartment Cellar","46-A"
"200000664","0","0200000664","W4969609_750ml","267.28","750ml","4969609","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","Ulysse Collin","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne","","Chambers Street","7/17/2024","OrderId:100000242","Closet Cooler","41-D"
"200000667","0","0200000667","W5200954_1.5L","684.55","1.5L","5200954","White - Sparkling","2023","Jérôme Prévost Champagne Grand Cru La Closerie","Jérôme Prévost","Champagne Blend","La Closerie","Unknown","France","Champagne","Unknown","Champagne Grand Cru","","Bottle Barn","7/12/2024","OrderId:100000243","Apartment Cellar","93-A"
"200000669","0","0200000669","W219158_1.5L","127.74","1.5L","219158","White - Sparkling","1001","Pierre Péters Champagne Grand Cru Blanc de Blancs Cuvée de Réserve","Pierre Péters","Chardonnay","Blanc de Blancs Cuvée de Réserve","Unknown","France","Champagne","Unknown","Champagne Grand Cru","","Winery Direct","7/20/2024","OrderId:500000012","Closet Cooler","88-F"
"200000671","0","0200000671","W219158_1.5L","127.74","1.5L","219158","White - Sparkling","1001","Pierre Péters Champagne Grand Cru Blanc de Blancs Cuvée de Réserve","Pierre Péters","Chardonnay","Blanc de Blancs Cuvée de Réserve","Unknown","France","Champagne","Unknown","Champagne Grand Cru","","Winery Direct","7/20/2024","OrderId:500000012","Apartment Cellar",""
"200000672","0","0200000672","W3558306_1.5L","223.21","1.5L","3558306","Rosé - Sparkling","2012","Bollinger Champagne La Grande Année Rosé","Bollinger","Champagne Blend","La Grande Année Rosé","Unknown","France","Champagne","Unknown","Champagne","","K&L Wine Merchants","7/21/2024","OrderId:100000245","Apartment Cellar","49-C"
"200000674","0","0200000674","W3558306_1.5L","223.21","1.5L","3558306","Rosé - Sparkling","2012","Bollinger Champagne La Grande Année Rosé","Bollinger","Champagne Blend","La Grande Année Rosé","Unknown","France","Champagne","Unknown","Champagne","","K&L Wine Merchants","7/21/2024","OrderId:100000245","Closet Cooler","59-E"
"200000675","0","0200000675","W3558306_1.5L","223.21","1.5L","3558306","Rosé - Sparkling","2012","Bollinger Champagne La Grande Année Rosé","Bollinger","Champagne Blend","La Grande Année Rosé","Unknown","France","Champagne","Unknown","Champagne","","K&L Wine Merchants","7/21/2024","OrderId:100000245","Closet Cooler",""
"200000676","0","0200000676","W3558306_1.5L","223.21","1.5L","3558306","Rosé - Sparkling","2012","Bollinger Champagne La Grande Année Rosé","Bollinger","Champagne Blend","La Grande Année Rosé","Unknown","France","Champagne","Unknown","Champagne","","K&L Wine Merchants","7/21/2024","OrderId:100000245","Apartment Cellar",""
"200000678","0","0200000678","W1078221_750ml","54.61","750ml","1078221","White - Sparkling","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs Les Vignes de Montgueux","Jacques Lassaigne","Chardonnay","Extra Brut Blanc de Blancs Les Vignes de Montgueux","Unknown","France","Champagne","Unknown","Champagne","","Flatiron Wines","7/6/2024","OrderId:100000246","Closet Cooler",""
"200000679","0","0200000679","W1078221_750ml","54.61","750ml","1078221","White - Sparkling","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs Les Vignes de Montgueux","Jacques Lassaigne","Chardonnay","Extra Brut Blanc de Blancs Les Vignes de Montgueux","Unknown","France","Champagne","Unknown","Champagne","","Flatiron Wines","7/6/2024","OrderId:100000246","Closet Cooler","97-D"
"200000681","0","0200000681","W1078221_750ml","54.61","750ml","1078221","White - Sparkling","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs Les Vignes de Montgueux","Jacques Lassaigne","Chardonnay","Extra Brut Blanc de Blancs Les Vignes de Montgueux","Unknown","France","Champagne","Unknown","Champagne","","Flatiron Wines","7/6/2024","OrderId:100000246","Closet Cooler","82-A"
"200000682","0","0200000682","W4427342_750ml","200.55","750ml","4427342","White - Sparkling","2012","Taittinger Champagne Comtes de Champagne Blanc de Blancs Brut","Taittinger","Chardonnay","Comtes de Champagne Blanc de Blancs Brut","Unknown","France","Champagne","Unknown","Champagne","","WineBid","7/2/2024","OrderId:100000247","Closet Cooler","08-D"
"200000683","0","0200000683","W5050215_750ml","270.44","750ml","5050215","White - Sparkling","2020","Roses de Jeanne / Cédric Bouchard Champagne UR/R20","Roses de Jeanne / Cédric Bouchard","Pinot Noir","UR/R20","Unknown","France","Champagne","Unknown","Champagne","","Liner & Elsen","7/10/2024","OrderId:100000248","Apartment Cellar","35-E"
"200000684","0","0200000684","W5050215_750ml","270.44","750ml","5050215","White - Sparkling","2020","Roses de Jeanne / Cédric Bouchard Champagne UR/R20","Roses de Jeanne / Cédric Bouchard","Pinot Noir","UR/R20","Unknown","France","Champagne","Unknown","Champagne","","Liner & Elsen","7/10/2024","OrderId:100000248","Apartment Cellar","29-B"
"200000686","0","0200000686","W2879253_375ml","124.78","375ml","2879253","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","Krug","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne","","Astor Wines","7/15/2024","OrderId:100000249","Closet Cooler","21-B"
"200000688","0","0200000688","W4915807_1.5L","142.91","1.5L","4915807","White - Sparkling","1001","Vilmart & Cie Champagne Premier Cru Grand Cellier d'Or","Vilmart & Cie","Champagne Blend","Grand Cellier d'Or","Unknown","France","Champagne","Unknown","Champagne Premier Cru","","Winery Direct","7/20/2024","OrderId:500000012","Apartment Cellar","69-F"
"200000689","0","0200000689","W4915807_1.5L","142.91","1.5L","4915807","White - Sparkling","1001","Vilmart & Cie Champagne Premier Cru Grand Cellier d'Or","Vilmart & Cie","Champagne Blend","Grand Cellier d'Or","Unknown","France","Champagne","Unknown","Champagne Premier Cru","","Winery Direct","7/20/2024","OrderId:500000012","Apartment Cellar","84-C"
"200000690","0","0200000690","W4969609_1.5L","492.54","1.5L","4969609","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","Ulysse Collin","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne","","Winery Direct","7/20/2024","OrderId:500000012","Closet Cooler","27-D"
"200000691","0","0200000691","W4152450_750ml","88.34","750ml","4152450","Red","2020","Domaine Michel Lafarge Bourgogne Passetoutgrains L'Exception","Domaine Michel Lafarge","Gamay-Pinot Noir Blend","L'Exception","Unknown","France","Burgundy","Unknown","Bourgogne Passetoutgrains","","Winery Direct","7/20/2024","OrderId:500000012","Apartment Cellar","48-A"
"200000692","0","0200000692","W4152450_750ml","88.34","750ml","4152450","Red","2020","Domaine Michel Lafarge Bourgogne Passetoutgrains L'Exception","Domaine Michel Lafarge","Gamay-Pinot Noir Blend","L'Exception","Unknown","France","Burgundy","Unknown","Bourgogne Passetoutgrains","","Winery Direct","7/20/2024","OrderId:500000012","Apartment Cellar","15-E"
