"iNote","iWine","Type","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","TastingDate","Defective","Views","fHelpful","fFavorite","Rating","EventLocation","EventTitle","iEvent","EventDate","EventEndDate","TastingNotes","fLikeIt","CNotes","CScore","LikeVotes","LikePercent","Votes","Comments"
"10000010","4567028","White - Sparkling","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Frédéric Savart / Drémont Père & Fils","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru","9/21/2024","False","0","","0","95","home","Saturday bubbles — September 2024","90000034","9/21/2024","9/21/2024","Nose of brioche, crushed chalk, biscuit. Palate shows pinpoint bead, saline grip. Singing right now.","","","","","","",""
"10000011","2309377","Red","2014","Domaine Arlaud Morey-Saint-Denis 1er Cru Les Ruchots","France, Burgundy, Côte de Nuits, Morey-Saint-Denis 1er Cru","Domaine Arlaud","Pinot Noir","Pinot Noir","Unknown","Les Ruchots","France","Burgundy","Côte de Nuits","Morey-Saint-Denis 1er Cru","6/19/2023","False","0","","0","89","","","","","","Nose of violets, tobacco leaf. Palate shows pretty fruit core, iron and minerals. Needs more time.","","","","","","",""
"10000012","5050215","White - Sparkling","2020","Roses de Jeanne / Cédric Bouchard Champagne UR/R20","France, Champagne","Roses de Jeanne / Cédric Bouchard","Pinot Noir","Pinot Noir","UR/R20","Unknown","France","Champagne","Unknown","Champagne","7/29/2023","False","0","","0","91","home","Saturday bubbles — July 2023","90000004","7/29/2023","7/29/2023","Nose of iodine, toasted almond, brioche. Palate shows rich autolysis, pinpoint bead, saline grip. Solid showing.","","","","","","",""
"10000013","4442038","White - Sparkling","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs La Colline Inspirée","France, Champagne","Jacques Lassaigne","Chardonnay","Chardonnay","Extra Brut Blanc de Blancs La Colline Inspirée","Unknown","France","Champagne","Unknown","Champagne","6/15/2024","False","0","","0","87","home","Champagne Saturday — June 2024","90000027","6/15/2024","6/15/2024","Nose of iodine, lemon curd. Palate shows pinpoint bead, saline grip. Pleasant if uncomplicated.","","","","","","",""
"10000014","2879253","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne","5/4/2024","False","0","","0","89","home","Krug édition night — May 2024","90000024","5/4/2024","5/4/2024","Nose of yellow apple, biscuit. Palate shows long chalky finish, saline grip, rich autolysis. On track.","","","","","","",""
"10000015","2879253","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne","12/27/2025","False","0","","0","90","home","Krug édition night — December 2025","90000067","12/27/2025","12/27/2025","Nose of yellow apple, lemon curd. Palate shows pinpoint bead, saline grip, long chalky finish. Pleasant if uncomplicated.","","","","","","",""
"10000016","2879253","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne","8/23/2025","False","0","","0","90","home","Krug édition night — August 2025","90000058","8/23/2025","8/23/2025","Nose of brioche, white peach. Palate shows fine mousse, rich autolysis, pinpoint bead. Pleasant if uncomplicated.","","","","","","",""
"10000017","2879253","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne","7/15/2023","False","0","","0","91","home","Krug édition night — July 2023","90000003","7/15/2023","7/15/2023","Nose of crushed chalk, lemon curd. Palate shows cutting acidity, pinpoint bead, rich autolysis. On track.","","","","","","",""
"10000018","2879253","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne","7/15/2023","False","0","","0","91","home","Krug édition night — July 2023","90000003","7/15/2023","7/15/2023","Nose of yellow apple, toasted almond, lemon curd. Palate shows fine mousse, long chalky finish. Solid showing.","","","","","","",""
"10000019","4111394","White - Sparkling","2016","Chartogne-Taillet Champagne Hors Serie","France, Champagne","Chartogne-Taillet","Chardonnay","Chardonnay","Hors Serie","Unknown","France","Champagne","Unknown","Champagne","11/4/2023","False","0","","0","90","home","blind Champagne flight — November 2023","90000011","11/4/2023","11/4/2023","Nose of white peach, yellow apple. Palate shows saline grip, fine mousse. Needs more time.","","","","","","",""
"10000020","4111394","White - Sparkling","2016","Chartogne-Taillet Champagne Hors Serie","France, Champagne","Chartogne-Taillet","Chardonnay","Chardonnay","Hors Serie","Unknown","France","Champagne","Unknown","Champagne","11/18/2023","False","0","","0","93","home","Saturday bubbles — November 2023","90000012","11/18/2023","11/18/2023","Nose of yellow apple, iodine. Palate shows pinpoint bead, long chalky finish, fine mousse. Hits its stride.","","","","","","",""
"10000021","4271968","White - Sparkling","2015","Bollinger Champagne La Grande Année","France, Champagne","Bollinger","Champagne Blend","Champagne Blend","La Grande Année","Unknown","France","Champagne","Unknown","Champagne","4/6/2024","False","0","","0","90","home","Saturday bubbles — April 2024","90000022","4/6/2024","4/6/2024","Nose of crushed chalk, yellow apple. Palate shows rich autolysis, saline grip. Good but not memorable.","","","","","","",""
"10000022","4271968","White - Sparkling","2015","Bollinger Champagne La Grande Année","France, Champagne","Bollinger","Champagne Blend","Champagne Blend","La Grande Année","Unknown","France","Champagne","Unknown","Champagne","10/4/2025","False","0","","0","91","home","Champagne Saturday — October 2025","90000061","10/4/2025","10/4/2025","Nose of biscuit, iodine. Palate shows rich autolysis, saline grip. Good but not memorable.","","","","","","",""
"10000023","4635721","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 171eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 171eme","Unknown","France","Champagne","Unknown","Champagne","10/7/2023","False","0","","0","91","home","Krug édition night — October 2023","90000009","10/7/2023","10/7/2023","Nose of yellow apple, toasted almond. Palate shows saline grip, rich autolysis, cutting acidity. On track.","","","","","","",""
"10000024","5059544","White - Sparkling","2021","Aurore Casanova Pinot Noir Champagne Grand Cru Les Petites Vignes Puisieulx","France, Champagne, Champagne Grand Cru","Aurore Casanova","Pinot Noir","Pinot Noir","Les Petites Vignes","Puisieulx","France","Champagne","Unknown","Champagne Grand Cru","8/12/2023","False","0","","0","88","home","Saturday bubbles — August 2023","90000005","8/12/2023","8/12/2023","Nose of biscuit, toasted almond, brioche. Palate shows pinpoint bead, fine mousse. Needs more time.","","","","","","",""
"10000025","457665","White - Sparkling","1001","Vilmart & Cie Champagne Premier Cru Grande Réserve","France, Champagne, Champagne Premier Cru","Vilmart & Cie","Champagne Blend","Champagne Blend","Grande Réserve","Unknown","France","Champagne","Unknown","Champagne Premier Cru","11/10/2023","False","0","","0","93","","","","","","Nose of yellow apple, toasted almond. Palate shows cutting acidity, saline grip. Better than expected.","","","","","","",""
"10000026","457665","White - Sparkling","1001","Vilmart & Cie Champagne Premier Cru Grande Réserve","France, Champagne, Champagne Premier Cru","Vilmart & Cie","Champagne Blend","Champagne Blend","Grande Réserve","Unknown","France","Champagne","Unknown","Champagne Premier Cru","12/2/2023","False","0","","0","93","home","Saturday bubbles — December 2023","90000013","12/2/2023","12/2/2023","Nose of white peach, iodine. Palate shows long chalky finish, rich autolysis, saline grip. Better than expected.","","","","","","",""
"10000027","4151173","White - Sparkling","1001","Pierre Gerbais Champagne Extra Brut Les Grandes Côtes","France, Champagne","Pierre Gerbais","Pinot Noir","Pinot Noir","Extra Brut","Les Grandes Côtes","France","Champagne","Unknown","Champagne","11/4/2024","False","0","","0","86","","","","","","Tired and sloppy.","","","","","","",""
"10000028","4708478","White - Sparkling","2019","Savart Champagne Premier Cru Le Mont Benoit","France, Champagne, Champagne Premier Cru","Savart","Champagne Blend","Champagne Blend","Le Mont Benoit","Unknown","France","Champagne","Unknown","Champagne Premier Cru","4/20/2024","False","0","","0","90","home","Saturday bubbles — April 2024","90000023","4/20/2024","4/20/2024","Nose of biscuit, toasted almond, brioche. Palate shows pinpoint bead, long chalky finish. Solid showing.","","","","","","",""
"10000029","4708478","White - Sparkling","2019","Savart Champagne Premier Cru Le Mont Benoit","France, Champagne, Champagne Premier Cru","Savart","Champagne Blend","Champagne Blend","Le Mont Benoit","Unknown","France","Champagne","Unknown","Champagne Premier Cru","1/17/2024","False","0","","0","93","","","","","","Nose of crushed chalk, brioche, iodine. Palate shows fine mousse, cutting acidity. Better than expected.","","","","","","",""
"10000030","4199671","White - Sparkling","2015","Jacques Lassaigne Champagne Les Vignes de Montgueux Blanc de Blancs Brut","France, Champagne","Jacques Lassaigne","Chardonnay","Chardonnay","Les Vignes de Montgueux Blanc de Blancs Brut","Unknown","France","Champagne","Unknown","Champagne","3/17/2025","False","0","","0","91","","","","","","Nose of biscuit, white peach, iodine. Palate shows pinpoint bead, cutting acidity, long chalky finish. On track.","","","","","","",""
"10000031","5734720","White","2018","Maxime Blin Coteaux Champenois Terre de Sable","France, Champagne, Coteaux Champenois","Maxime Blin","Pinot Noir","Pinot Noir","Unknown","Terre de Sable","France","Champagne","Unknown","Coteaux Champenois","11/24/2023","False","0","","0","87","","","","","","Disappointing.","","","","","","",""
"10000032","5509529","White - Sparkling","1001","Roses de Jeanne / Cédric Bouchard Champagne VV/R23","France, Champagne","Roses de Jeanne / Cédric Bouchard","Pinot Noir","Pinot Noir","VV/R23","Unknown","France","Champagne","Unknown","Champagne","11/4/2023","False","0","","0","94","home","blind Champagne flight — November 2023","90000011","11/4/2023","11/4/2023","Nose of yellow apple, iodine, brioche. Palate shows long chalky finish, rich autolysis. Drinking beautifully.","","","","","","",""
"10000033","3635886","White - Sparkling","2018","Déhu Père & Fils Champagne Cuvée La Rue des Noyers Extra Brut","France, Champagne","Déhu Père & Fils","Pinot Meunier","Pinot Meunier","Cuvée La Rue des Noyers Extra Brut","Unknown","France","Champagne","Unknown","Champagne","7/29/2023","False","0","","0","93","home","Saturday bubbles — July 2023","90000004","7/29/2023","7/29/2023","Nose of crushed chalk, toasted almond. Palate shows pinpoint bead, rich autolysis. Better than expected.","","","","","","",""
"10000034","3635886","White - Sparkling","2018","Déhu Père & Fils Champagne Cuvée La Rue des Noyers Extra Brut","France, Champagne","Déhu Père & Fils","Pinot Meunier","Pinot Meunier","Cuvée La Rue des Noyers Extra Brut","Unknown","France","Champagne","Unknown","Champagne","9/22/2023","False","0","","0","92","","","","","","Nose of lemon curd, iodine, crushed chalk. Palate shows pinpoint bead, cutting acidity. Drinking beautifully.","","","","","","",""
"10000035","3635886","White - Sparkling","2018","Déhu Père & Fils Champagne Cuvée La Rue des Noyers Extra Brut","France, Champagne","Déhu Père & Fils","Pinot Meunier","Pinot Meunier","Cuvée La Rue des Noyers Extra Brut","Unknown","France","Champagne","Unknown","Champagne","7/29/2023","False","0","","0","90","home","Saturday bubbles — July 2023","90000004","7/29/2023","7/29/2023","Nose of crushed chalk, toasted almond, lemon curd. Palate shows saline grip, cutting acidity, long chalky finish. Pleasant if uncomplicated.","","","","","","",""
"10000036","3635886","White - Sparkling","2018","Déhu Père & Fils Champagne Cuvée La Rue des Noyers Extra Brut","France, Champagne","Déhu Père & Fils","Pinot Meunier","Pinot Meunier","Cuvée La Rue des Noyers Extra Brut","Unknown","France","Champagne","Unknown","Champagne","7/17/2023","False","0","","0","94","","","","","","Nose of toasted almond, lemon curd. Palate shows cutting acidity, fine mousse. Drinking beautifully.","","","","","","",""
"10000037","4199671","White - Sparkling","2015","Jacques Lassaigne Champagne Les Vignes de Montgueux Blanc de Blancs Brut","France, Champagne","Jacques Lassaigne","Chardonnay","Chardonnay","Les Vignes de Montgueux Blanc de Blancs Brut","Unknown","France","Champagne","Unknown","Champagne","8/8/2024","False","0","","0","91","","","","","","Nose of yellow apple, iodine, toasted almond. Palate shows fine mousse, cutting acidity. Pleasant if uncomplicated.","","","","","","",""
"10000038","3909023","White - Sparkling","2008","Jacques Selosse Millésimé","France, Champagne, Champagne Premier Cru","Jacques Selosse","Chardonnay","Chardonnay","Millésimé","Unknown","France","Champagne","Unknown","Champagne Premier Cru","9/23/2023","False","0","","0","86","home","blind Champagne flight — September 2023","90000008","9/23/2023","9/23/2023","Tired and sloppy.","","","","","","",""
"10000039","4153349","Red","2019","Claire Hill Zinfandel North Ponderosa Vineyard","USA, California, Sierra Foothills, North Yuba","Claire Hill","Zinfandel","Zinfandel","Unknown","North Ponderosa Vineyard","USA","California","Sierra Foothills","North Yuba","4/2/2024","False","0","","0","88","","","","","","Nose of graphite, dark cherry. Palate shows earthy depth, iron and minerals, taut tannins. Pleasant if uncomplicated.","","","","","","",""
"10000040","5729858","White","2023","Martin Muthenthaler Grüner Veltliner Ried Schon-Viessling","Austria, Niederösterreich, Wachau","Martin Muthenthaler","Grüner Veltliner","Grüner Veltliner","Unknown","Ried Schon-Viessling","Austria","Niederösterreich","Wachau","Unknown","6/25/2024","False","0","","0","92","","","","","","Nose of chalk, ginger, wet wool. Palate shows saline finish, nervy acidity. Pleasant if uncomplicated.","","","","","","",""
"10000041","5479669","White - Sparkling","2021","Savart Champagne Premier Cru Les Noues","France, Champagne, Champagne Premier Cru","Savart","Pinot Noir","Pinot Noir","Les Noues","Unknown","France","Champagne","Unknown","Champagne Premier Cru","12/30/2023","False","0","","0","92","home","Champagne Saturday — December 2023","90000015","12/30/2023","12/30/2023","Nose of white peach, yellow apple, biscuit. Palate shows rich autolysis, saline grip, cutting acidity. Needs more time.","","","","","","",""
"10000042","2523953","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 163eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 163eme","Unknown","France","Champagne","Unknown","Champagne","10/7/2023","False","0","","0","92","home","Krug édition night — October 2023","90000009","10/7/2023","10/7/2023","Nose of yellow apple, biscuit, lemon curd. Palate shows saline grip, rich autolysis, long chalky finish. Hits its stride.","","","","","","",""
"10000043","2523953","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 163eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 163eme","Unknown","France","Champagne","Unknown","Champagne","8/26/2023","False","0","","0","91","home","Krug édition night — August 2023","90000006","8/26/2023","8/26/2023","Nose of white peach, iodine. Palate shows saline grip, long chalky finish, cutting acidity. Pleasant if uncomplicated.","","","","","","",""
"10000044","2523953","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 163eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 163eme","Unknown","France","Champagne","Unknown","Champagne","10/18/2023","False","0","","0","88","","","","","","Nose of toasted almond, yellow apple, crushed chalk. Palate shows fine mousse, saline grip, rich autolysis. On track.","","","","","","",""
"10000045","4567028","White - Sparkling","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Frédéric Savart / Drémont Père & Fils","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru","11/5/2023","False","0","","0","91","","","","","","Nose of yellow apple, biscuit. Palate shows fine mousse, long chalky finish, saline grip. Good but not memorable.","","","","","","",""
"10000046","4567028","White - Sparkling","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Frédéric Savart / Drémont Père & Fils","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru","3/9/2024","False","0","","0","91","home","Saturday bubbles — March 2024","90000020","3/9/2024","3/9/2024","Nose of lemon curd, toasted almond. Palate shows saline grip, fine mousse, pinpoint bead. Solid showing.","","","","","","",""
"10000047","1078221","White - Sparkling","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs Les Vignes de Montgueux","France, Champagne","Jacques Lassaigne","Chardonnay","Chardonnay","Extra Brut Blanc de Blancs Les Vignes de Montgueux","Unknown","France","Champagne","Unknown","Champagne","11/26/2023","False","0","","0","88","","","","","","Nose of brioche, white peach. Palate shows fine mousse, cutting acidity. On track.","","","","","","",""
"10000048","2434735","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 162eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 162eme","Unknown","France","Champagne","Unknown","Champagne","7/13/2024","False","0","","0","93","home","Krug édition night — July 2024","90000029","7/13/2024","7/13/2024","Nose of crushed chalk, white peach. Palate shows cutting acidity, saline grip, long chalky finish. Outstanding bottle.","","","","","","",""
"10000049","2434735","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 162eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 162eme","Unknown","France","Champagne","Unknown","Champagne","8/26/2023","False","0","","0","93","home","Krug édition night — August 2023","90000006","8/26/2023","8/26/2023","Nose of white peach, crushed chalk. Palate shows cutting acidity, pinpoint bead, long chalky finish. Better than expected.","","","","","","",""
"10000050","2879253","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne","8/28/2023","False","0","","0","92","","","","","","Nose of iodine, lemon curd, biscuit. Palate shows long chalky finish, fine mousse. Singing right now.","","","","","","",""
"10000051","2879253","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne","9/9/2023","False","0","","0","88","home","Krug édition night — September 2023","90000007","9/9/2023","9/9/2023","Nose of brioche, yellow apple, iodine. Palate shows rich autolysis, cutting acidity, fine mousse. Good but not memorable.","","","","","","",""
"10000052","2879253","White - Sparkling","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne","10/7/2023","False","0","","0","93","home","Krug édition night — October 2023","90000009","10/7/2023","10/7/2023","Nose of biscuit, brioche, crushed chalk. Palate shows cutting acidity, fine mousse, saline grip. Hits its stride.","","","","","","",""
"10000053","5200954","White - Sparkling","2023","Jérôme Prévost Champagne Grand Cru La Closerie","France, Champagne, Champagne Grand Cru","Jérôme Prévost","Champagne Blend","Champagne Blend","La Closerie","Unknown","France","Champagne","Unknown","Champagne Grand Cru","2/8/2025","False","0","","0","93","home","Champagne Saturday — February 2025","90000044","2/8/2025","2/8/2025","Nose of brioche, biscuit, iodine. Palate shows saline grip, fine mousse, pinpoint bead. Drinking beautifully.","","","","","","",""
"10000054","5200954","White - Sparkling","2023","Jérôme Prévost Champagne Grand Cru La Closerie","France, Champagne, Champagne Grand Cru","Jérôme Prévost","Champagne Blend","Champagne Blend","La Closerie","Unknown","France","Champagne","Unknown","Champagne Grand Cru","5/18/2024","False","0","","0","94","home","blind Champagne flight — May 2024","90000025","5/18/2024","5/18/2024","Nose of iodine, toasted almond, yellow apple. Palate shows rich autolysis, saline grip. Drinking beautifully.","","","","","","",""
"10000055","5200954","White - Sparkling","2023","Jérôme Prévost Champagne Grand Cru La Closerie","France, Champagne, Champagne Grand Cru","Jérôme Prévost","Champagne Blend","Champagne Blend","La Closerie","Unknown","France","Champagne","Unknown","Champagne Grand Cru","9/23/2023","False","0","","0","89","home","blind Champagne flight — September 2023","90000008","9/23/2023","9/23/2023","Nose of yellow apple, white peach. Palate shows cutting acidity, saline grip. Needs more time.","","","","","","",""
"10000056","5200954","White - Sparkling","2023","Jérôme Prévost Champagne Grand Cru La Closerie","France, Champagne, Champagne Grand Cru","Jérôme Prévost","Champagne Blend","Champagne Blend","La Closerie","Unknown","France","Champagne","Unknown","Champagne Grand Cru","8/12/2023","False","0","","0","90","home","Saturday bubbles — August 2023","90000005","8/12/2023","8/12/2023","Nose of iodine, crushed chalk, lemon curd. Palate shows long chalky finish, fine mousse. Needs more time.","","","","","","",""
"10000057","5200954","White - Sparkling","2023","Jérôme Prévost Champagne Grand Cru La Closerie","France, Champagne, Champagne Grand Cru","Jérôme Prévost","Champagne Blend","Champagne Blend","La Closerie","Unknown","France","Champagne","Unknown","Champagne Grand Cru","2/22/2025","False","0","","0","86","home","blind Champagne flight — February 2025","90000045","2/22/2025","2/22/2025","Past its prime.","","","","","","",""
"10000058","4664536","White - Sparkling","2015","Dehours Champagne Brut Millésimé","France, Champagne","Dehours","Champagne Blend","Champagne Blend","Brut Millésimé","Unknown","France","Champagne","Unknown","Champagne","10/21/2023","False","0","","0","93","home","Saturday bubbles — October 2023","90000010","10/21/2023","10/21/2023","Nose of toasted almond, lemon curd, crushed chalk. Palate shows rich autolysis, cutting acidity. Drinking beautifully.","","","","","","",""
"10000059","4664536","White - Sparkling","2015","Dehours Champagne Brut Millésimé","France, Champagne","Dehours","Champagne Blend","Champagne Blend","Brut Millésimé","Unknown","France","Champagne","Unknown","Champagne","9/20/2025","False","0","","0","95","home","Saturday bubbles — September 2025","90000060","9/20/2025","9/20/2025","Nose of crushed chalk, iodine. Palate shows cutting acidity, pinpoint bead, long chalky finish. Singing right now. Bottle of the year so far.","","","","","","",""
"10000060","4664536","White - Sparkling","2015","Dehours Champagne Brut Millésimé","France, Champagne","Dehours","Champagne Blend","Champagne Blend","Brut Millésimé","Unknown","France","Champagne","Unknown","Champagne","2/27/2024","False","0","","0","92","","","","","","Nose of yellow apple, iodine. Palate shows saline grip, fine mousse, rich autolysis. On track.","","","","","","",""
"10000061","4664536","White - Sparkling","2015","Dehours Champagne Brut Millésimé","France, Champagne","Dehours","Champagne Blend","Champagne Blend","Brut Millésimé","Unknown","France","Champagne","Unknown","Champagne","9/20/2025","False","0","","0","90","home","Saturday bubbles — September 2025","90000060","9/20/2025","9/20/2025","Nose of yellow apple, biscuit. Palate shows cutting acidity, rich autolysis. Needs more time.","","","","","","",""
"10000062","4664536","White - Sparkling","2015","Dehours Champagne Brut Millésimé","France, Champagne","Dehours","Champagne Blend","Champagne Blend","Brut Millésimé","Unknown","France","Champagne","Unknown","Champagne","12/9/2023","False","0","","0","92","","","","","","Nose of lemon curd, iodine, yellow apple. Palate shows rich autolysis, long chalky finish. Singing right now.","","","","","","",""
