"iConsumed","iWine","Type","Consumed","ConsumedYear","ConsumedMonth","ConsumedDay","Size","ShortType","Currency","Value","Price","Revenue","RevenueCurrency","ConsumptionNote","PurchaseNote","BottleNote","Location","Bin","Vintage","Wine","Locale","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"50000012","4567028","White - Sparkling","5/18/2024","2024","5","18","750ml","Drank from my cellar","USD","83.43","83.43","0","USD","homemade pizza with Alex","OrderId:100000004","","Apartment Cellar","18-F","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Red","Dry","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000013","4567028","White - Sparkling","10/21/2023","2023","10","21","750ml","Drank from my cellar","USD","83.43","83.43","0","USD","Champagne Saturday — July 2023","OrderId:100000004","","Closet Cooler","06-B","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Red","Dry","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000014","4567028","White - Sparkling","6/25/2023","2023","6","25","750ml","Drank from my cellar","USD","83.43","83.43","0","USD","ribeye on the grill with Alex","OrderId:100000004","","Apartment Cellar","71-A","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Red","Dry","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000015","4567028","White - Sparkling","7/23/2023","2023","7","23","750ml","Drank from my cellar","USD","106.93","106.93","0","USD","Champagne Saturday — July 2023","OrderId:100000005","","Closet Cooler","44-B","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Red","Dry","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000016","4567028","White - Sparkling","11/9/2025","2025","11","9","750ml","Flawed","USD","106.93","106.93","0","USD","Premature oxidation. Sherry character throughout.","OrderId:100000005","","Closet Cooler","39-C","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Red","Dry","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000017","4567028","White - Sparkling","9/21/2024","2024","9","21","750ml","Drank from my cellar","USD","106.93","106.93","0","USD","Saturday bubbles — September 2024","OrderId:100000005","","Closet Cooler","90-C","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Red","Dry","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000018","2309377","Red","12/31/2023","2023","12","31","750ml","Drank from my cellar","USD","88.86","88.86","0","USD","","OrderId:100000006","","Apartment Cellar","14-C","2014","Domaine Arlaud Morey-Saint-Denis 1er Cru Les Ruchots","France, Burgundy, Côte de Nuits, Morey-Saint-Denis 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Ruchots","France","Burgundy","Côte de Nuits","Morey-Saint-Denis 1er Cru"
"50000019","2309377","Red","6/12/2023","2023","6","12","750ml","Drank from my cellar","USD","88.86","88.86","0","USD","","OrderId:100000006","","Closet Cooler","15-F","2014","Domaine Arlaud Morey-Saint-Denis 1er Cru Les Ruchots","France, Burgundy, Côte de Nuits, Morey-Saint-Denis 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Ruchots","France","Burgundy","Côte de Nuits","Morey-Saint-Denis 1er Cru"
"50000020","2309377","Red","6/19/2023","2023","6","19","750ml","Drank from my cellar","USD","88.86","88.86","0","USD","","OrderId:100000006","","Apartment Cellar","15-C","2014","Domaine Arlaud Morey-Saint-Denis 1er Cru Les Ruchots","France, Burgundy, Côte de Nuits, Morey-Saint-Denis 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Ruchots","France","Burgundy","Côte de Nuits","Morey-Saint-Denis 1er Cru"
"50000021","2309377","Red","2/15/2025","2025","2","15","750ml","Drank from my cellar","USD","88.86","88.86","0","USD","","OrderId:100000006","","Closet Cooler","85-D","2014","Domaine Arlaud Morey-Saint-Denis 1er Cru Les Ruchots","France, Burgundy, Côte de Nuits, Morey-Saint-Denis 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Ruchots","France","Burgundy","Côte de Nuits","Morey-Saint-Denis 1er Cru"
"50000022","4657007","White - Off-dry","8/5/2023","2023","8","5","750ml","Drank from my cellar","USD","28.77","28.77","0","USD","porchetta with Alex and Robin","OrderId:100000007","","Apartment Cellar","13-E","2022","Willi Schaefer Graacher Riesling feinherb","Germany, Mosel Saar Ruwer","White","Dry","Riesling","Riesling","feinherb","Graacher","Germany","Mosel Saar Ruwer","Unknown","Unknown"
"50000023","5050215","White - Sparkling","7/29/2023","2023","7","29","750ml","Drank from my cellar","USD","263.30","263.30","0","USD","Saturday bubbles — July 2023","OrderId:100000008","","Apartment Cellar","06-E","2020","Roses de Jeanne / Cédric Bouchard Champagne UR/R20","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","UR/R20","Unknown","France","Champagne","Unknown","Champagne"
"50000024","5050215","White - Sparkling","1/24/2026","2026","1","24","750ml","Drank from my cellar","USD","263.30","263.30","0","USD","","OrderId:100000008","","Apartment Cellar","","2020","Roses de Jeanne / Cédric Bouchard Champagne UR/R20","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","UR/R20","Unknown","France","Champagne","Unknown","Champagne"
"50000025","4442038","White - Sparkling","6/15/2024","2024","6","15","750ml","Drank from my cellar","USD","94.87","94.87","0","USD","Champagne Saturday — June 2024","OrderId:100000009","","Apartment Cellar","68-F","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs La Colline Inspirée","France, Champagne","White","Sparkling","Chardonnay","Chardonnay","Extra Brut Blanc de Blancs La Colline Inspirée","Unknown","France","Champagne","Unknown","Champagne"
"50000026","4442038","White - Sparkling","9/14/2023","2023","9","14","750ml","Drank from my cellar","USD","94.87","94.87","0","USD","","OrderId:100000009","","Apartment Cellar","","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs La Colline Inspirée","France, Champagne","White","Sparkling","Chardonnay","Chardonnay","Extra Brut Blanc de Blancs La Colline Inspirée","Unknown","France","Champagne","Unknown","Champagne"
"50000027","2879253","White - Sparkling","5/4/2024","2024","5","4","750ml","Drank from my cellar","USD","261.89","261.89","0","USD","Krug édition night — May 2024","OrderId:100000010","","Closet Cooler","15-D","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne"
"50000028","2879253","White - Sparkling","12/27/2025","2025","12","27","750ml","Drank from my cellar","USD","261.89","261.89","0","USD","Krug édition night — December 2025","OrderId:100000010","","Closet Cooler","04-D","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne"
"50000029","2879253","White - Sparkling","12/8/2025","2025","12","8","750ml","Drank from my cellar","USD","261.89","261.89","0","USD","","OrderId:100000010","","Apartment Cellar","99-A","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne"
"50000030","2879253","White - Sparkling","4/17/2024","2024","4","17","750ml","Drank from my cellar","USD","261.89","261.89","0","USD","Dinner at Nostrana with Alex and the dinner crew","OrderId:100000010","","Apartment Cellar","99-E","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne"
"50000031","2879253","White - Sparkling","11/17/2025","2025","11","17","750ml","Drank from my cellar","USD","261.89","261.89","0","USD","Krug édition night — August 2025","OrderId:100000010","","Closet Cooler","01-D","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne"
"50000032","2879253","White - Sparkling","8/18/2023","2023","8","18","750ml","Drank from my cellar","USD","288.37","288.37","0","USD","Krug édition night — July 2023","OrderId:100000011","","Apartment Cellar","","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne"
"50000033","2879253","White - Sparkling","9/4/2023","2023","9","4","750ml","Drank from my cellar","USD","288.37","288.37","0","USD","roast chicken with Alex","OrderId:100000011","","Apartment Cellar","13-F","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne"
"50000034","2635678","Red","2/3/2024","2024","2","3","750ml","Drank from my cellar","USD","488.34","488.34","0","USD","","OrderId:100000012","","Apartment Cellar","09-B","2015","Domaine Dujac Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000035","2635678","Red","1/26/2025","2025","1","26","750ml","Drank from my cellar","USD","488.34","488.34","0","USD","","OrderId:100000012","","Closet Cooler","95-E","2015","Domaine Dujac Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000036","2635678","Red","2/3/2024","2024","2","3","750ml","Drank from my cellar","USD","488.34","488.34","0","USD","","OrderId:100000012","","Closet Cooler","90-E","2015","Domaine Dujac Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000037","2635678","Red","10/25/2023","2023","10","25","750ml","Drank from my cellar","USD","488.34","488.34","0","USD","","OrderId:100000012","","Apartment Cellar","90-F","2015","Domaine Dujac Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"50000038","4958295","White - Sparkling","8/21/2024","2024","8","21","750ml","Drank from my cellar","USD","95.02","95.02","0","USD","Tuesday risotto with Alex","OrderId:100000013","","Apartment Cellar","","2014","Roger Coulon Champagne Blanc de Noirs Millesime","France, Champagne","White","Sparkling","Pinot Blend","Pinot Noir","Blanc de Noirs Millesime","Unknown","France","Champagne","Unknown","Champagne"
"50000039","4111394","White - Sparkling","5/5/2024","2024","5","5","750ml","Drank from my cellar","USD","132.30","132.30","0","USD","slow-cooked short ribs with Alex","OrderId:100000014","","Apartment Cellar","70-C","2016","Chartogne-Taillet Champagne Hors Serie","France, Champagne","White","Sparkling","Chardonnay","Chardonnay","Hors Serie","Unknown","France","Champagne","Unknown","Champagne"
"50000040","4111394","White - Sparkling","5/23/2025","2025","5","23","750ml","Drank from my cellar","USD","132.30","132.30","0","USD","Saturday bubbles — November 2023","OrderId:100000014","","Closet Cooler","12-A","2016","Chartogne-Taillet Champagne Hors Serie","France, Champagne","White","Sparkling","Chardonnay","Chardonnay","Hors Serie","Unknown","France","Champagne","Unknown","Champagne"
"50000041","1078221","White - Sparkling","5/1/2025","2025","5","1","750ml","Drank from my cellar","USD","46.52","46.52","0","USD","","OrderId:500000000","","Closet Cooler","36-B","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs Les Vignes de Montgueux","France, Champagne","White","Sparkling","Chardonnay","Chardonnay","Extra Brut Blanc de Blancs Les Vignes de Montgueux","Unknown","France","Champagne","Unknown","Champagne"
"50000042","1078221","White - Sparkling","7/20/2024","2024","7","20","750ml","Drank from my cellar","USD","46.52","46.52","0","USD","","OrderId:500000000","","Closet Cooler","11-F","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs Les Vignes de Montgueux","France, Champagne","White","Sparkling","Chardonnay","Chardonnay","Extra Brut Blanc de Blancs Les Vignes de Montgueux","Unknown","France","Champagne","Unknown","Champagne"
"50000043","4271968","White - Sparkling","4/6/2024","2024","4","6","750ml","Drank from my cellar","USD","114.58","114.58","0","USD","Saturday bubbles — April 2024","OrderId:100000016","","Apartment Cellar","08-E","2015","Bollinger Champagne La Grande Année","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","La Grande Année","Unknown","France","Champagne","Unknown","Champagne"
"50000044","4271968","White - Sparkling","9/22/2023","2023","9","22","750ml","Drank from my cellar","USD","114.58","114.58","0","USD","","OrderId:100000016","","Apartment Cellar","46-D","2015","Bollinger Champagne La Grande Année","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","La Grande Année","Unknown","France","Champagne","Unknown","Champagne"
"50000045","4271968","White - Sparkling","9/14/2024","2024","9","14","750ml","Drank from my cellar","USD","114.58","114.58","0","USD","Champagne Saturday — October 2025","OrderId:100000016","","Closet Cooler","17-B","2015","Bollinger Champagne La Grande Année","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","La Grande Année","Unknown","France","Champagne","Unknown","Champagne"
"50000046","4271968","White - Sparkling","1/3/2024","2024","1","3","750ml","Drank from my cellar","USD","114.58","114.58","0","USD","","OrderId:100000016","","Apartment Cellar","25-B","2015","Bollinger Champagne La Grande Année","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","La Grande Année","Unknown","France","Champagne","Unknown","Champagne"
"50000047","4635721","White - Sparkling","11/2/2023","2023","11","2","750ml","Drank from my cellar","USD","76.38","76.38","0","USD","tacos with Alex","OrderId:100000017","","Closet Cooler","81-C","1001","Krug Champagne Brut Grande Cuvée Edition 171eme","France, Champagne","White","Sparkling","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 171eme","Unknown","France","Champagne","Unknown","Champagne"
"50000048","5059544","White - Sparkling","8/12/2023","2023","8","12","750ml","Drank from my cellar","USD","59.31","59.31","0","USD","Saturday bubbles — August 2023","OrderId:100000018","slightly depressed cork","Closet Cooler","10-A","2021","Aurore Casanova Pinot Noir Champagne Grand Cru Les Petites Vignes Puisieulx","France, Champagne, Champagne Grand Cru","White","Sparkling","Pinot Noir","Pinot Noir","Les Petites Vignes","Puisieulx","France","Champagne","Unknown","Champagne Grand Cru"
"50000049","5059544","White - Sparkling","1/24/2025","2025","1","24","750ml","Drank from my cellar","USD","59.31","59.31","0","USD","","OrderId:100000018","","Apartment Cellar","73-B","2021","Aurore Casanova Pinot Noir Champagne Grand Cru Les Petites Vignes Puisieulx","France, Champagne, Champagne Grand Cru","White","Sparkling","Pinot Noir","Pinot Noir","Les Petites Vignes","Puisieulx","France","Champagne","Unknown","Champagne Grand Cru"
"50000050","457665","White - Sparkling","11/10/2023","2023","11","10","750ml","Drank from my cellar","USD","53.39","53.39","0","USD","","OrderId:100000019","","Apartment Cellar","61-E","1001","Vilmart & Cie Champagne Premier Cru Grande Réserve","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Grande Réserve","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000051","457665","White - Sparkling","10/4/2025","2025","10","4","750ml","Drank from my cellar","USD","53.39","53.39","0","USD","","OrderId:100000019","top-shoulder fill","Apartment Cellar","","1001","Vilmart & Cie Champagne Premier Cru Grande Réserve","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Grande Réserve","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000052","457665","White - Sparkling","12/2/2023","2023","12","2","750ml","Drank from my cellar","USD","53.39","53.39","0","USD","Saturday bubbles — December 2023","OrderId:100000019","","Apartment Cellar","33-F","1001","Vilmart & Cie Champagne Premier Cru Grande Réserve","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Grande Réserve","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000053","457665","White - Sparkling","9/19/2023","2023","9","19","750ml","Drank from my cellar","USD","53.39","53.39","0","USD","","OrderId:100000019","","Apartment Cellar","65-A","1001","Vilmart & Cie Champagne Premier Cru Grande Réserve","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Grande Réserve","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000054","4151173","White - Sparkling","11/4/2024","2024","11","4","1.5L","Drank from my cellar","USD","203.22","203.22","0","USD","","OrderId:500000000","","Apartment Cellar","67-B","1001","Pierre Gerbais Champagne Extra Brut Les Grandes Côtes","France, Champagne","Red","Dry","Pinot Noir","Pinot Noir","Extra Brut","Les Grandes Côtes","France","Champagne","Unknown","Champagne"
"50000055","4151173","White - Sparkling","10/3/2025","2025","10","3","1.5L","Drank from my cellar","USD","203.22","203.22","0","USD","","OrderId:500000000","","Closet Cooler","","1001","Pierre Gerbais Champagne Extra Brut Les Grandes Côtes","France, Champagne","Red","Dry","Pinot Noir","Pinot Noir","Extra Brut","Les Grandes Côtes","France","Champagne","Unknown","Champagne"
"50000056","4708478","White - Sparkling","4/20/2024","2024","4","20","750ml","Drank from my cellar","USD","160.27","160.27","0","USD","Saturday bubbles — April 2024","OrderId:100000021","","Apartment Cellar","","2019","Savart Champagne Premier Cru Le Mont Benoit","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Le Mont Benoit","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000057","4708478","White - Sparkling","12/20/2023","2023","12","20","750ml","Drank from my cellar","USD","160.27","160.27","0","USD","","OrderId:100000021","","Closet Cooler","96-B","2019","Savart Champagne Premier Cru Le Mont Benoit","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Le Mont Benoit","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000058","4708478","White - Sparkling","1/17/2024","2024","1","17","750ml","Drank from my cellar","USD","160.27","160.27","0","USD","salad and leftovers with Alex and Casey","OrderId:100000021","","Apartment Cellar","45-D","2019","Savart Champagne Premier Cru Le Mont Benoit","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Le Mont Benoit","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000059","4708478","White - Sparkling","6/23/2024","2024","6","23","750ml","Drank from my cellar","USD","160.27","160.27","0","USD","","OrderId:100000021","","Apartment Cellar","77-D","2019","Savart Champagne Premier Cru Le Mont Benoit","France, Champagne, Champagne Premier Cru","White","Sparkling","Champagne Blend","Champagne Blend","Le Mont Benoit","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"50000060","5163406","Red","4/11/2026","2026","4","11","1.5L","Drank from my cellar","USD","151.78","151.78","0","USD","","OrderId:100000022","","Apartment Cellar","55-A","2023","Alain Hudelot-Noëllat Chambolle-Musigny","France, Burgundy, Côte de Nuits, Chambolle-Musigny","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Chambolle-Musigny"
"50000061","4199671","White - Sparkling","3/17/2025","2025","3","17","750ml","Drank from my cellar","USD","61.42","61.42","0","USD","blind Champagne flight — January 2024","OrderId:100000023","","Apartment Cellar","58-E","2015","Jacques Lassaigne Champagne Les Vignes de Montgueux Blanc de Blancs Brut","France, Champagne","White","Sparkling","Chardonnay","Chardonnay","Les Vignes de Montgueux Blanc de Blancs Brut","Unknown","France","Champagne","Unknown","Champagne"
"50000062","5734720","White","4/10/2025","2025","4","10","750ml","Drank from my cellar","USD","80.63","80.63","0","USD","","OrderId:100000024","","Apartment Cellar","09-F","2018","Maxime Blin Coteaux Champenois Terre de Sable","France, Champagne, Coteaux Champenois","White","Dry","Pinot Noir","Pinot Noir","Unknown","Terre de Sable","France","Champagne","Unknown","Coteaux Champenois"
"50000063","5734720","White","11/24/2023","2023","11","24","750ml","Drank from my cellar","USD","80.63","80.63","0","USD","","OrderId:100000024","","Apartment Cellar","73-D","2018","Maxime Blin Coteaux Champenois Terre de Sable","France, Champagne, Coteaux Champenois","White","Dry","Pinot Noir","Pinot Noir","Unknown","Terre de Sable","France","Champagne","Unknown","Coteaux Champenois"
"50000064","5509529","White - Sparkling","11/4/2023","2023","11","4","750ml","Drank from my cellar","USD","166.01","166.01","0","USD","blind Champagne flight — November 2023","OrderId:100000025","","Apartment Cellar","45-F","1001","Roses de Jeanne / Cédric Bouchard Champagne VV/R23","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","VV/R23","Unknown","France","Champagne","Unknown","Champagne"
"50000065","1683286","Red","4/30/2026","2026","4","30","750ml","Drank from my cellar","USD","135.05","135.05","0","USD","","OrderId:100000026","","Apartment Cellar","41-C","2012","Louis Jadot Gevrey-Chambertin 1er Cru Clos St. Jacques Domaine Louis Jadot","France, Burgundy, Côte de Nuits, Gevrey-Chambertin 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Domaine Louis Jadot","Clos St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru"
"50000066","1683286","Red","5/1/2026","2026","5","1","750ml","Drank from my cellar","USD","135.05","135.05","0","USD","","OrderId:100000026","","Apartment Cellar","34-B","2012","Louis Jadot Gevrey-Chambertin 1er Cru Clos St. Jacques Domaine Louis Jadot","France, Burgundy, Côte de Nuits, Gevrey-Chambertin 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Domaine Louis Jadot","Clos St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru"
