"iInventory","Pending","Barcode","WineBarcode","Price","Size","iWine","Type","Vintage","Wine","Producer","Varietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","Note","StoreName","PurchaseDate","PurchaseNote","Location","Bin"
"200000676","0","0200000676","W1990065_750ml","116.30","750ml","1990065","Red","2013","Domaine des Lambrays Clos des Lambrays","Domaine des Lambrays","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos des Lambrays Grand Cru","","K&L Auctions","6/19/2014","OrderId:100000258","Cellar Room","47-D"
"200000686","0","0200000686","W1208_750ml","59.80","750ml","1208","Red","1989","Château Montrose","Château Montrose","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Saint-Estèphe","","K&L Auctions","6/4/2014","OrderId:100000260","Off-site Storage","13-A"
"200000688","0","0200000688","W2061739_750ml","52.76","750ml","2061739","Red","2013","Bartolo Mascarello Langhe Nebbiolo","Bartolo Mascarello","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Langhe DOC","","Zachys","6/12/2014","OrderId:100000261","Off-site Storage","83-B"
"200000689","0","0200000689","W2061739_750ml","52.76","750ml","2061739","Red","2013","Bartolo Mascarello Langhe Nebbiolo","Bartolo Mascarello","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Langhe DOC","","Zachys","6/12/2014","OrderId:100000261","Kitchen Cooler","81-A"
"200000691","0","0200000691","W2061739_750ml","52.76","750ml","2061739","Red","2013","Bartolo Mascarello Langhe Nebbiolo","Bartolo Mascarello","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Langhe DOC","","Zachys","6/12/2014","OrderId:100000261","Cellar Room","40-A"
"200000694","0","0200000694","W2061739_750ml","52.76","750ml","2061739","Red","2013","Bartolo Mascarello Langhe Nebbiolo","Bartolo Mascarello","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Langhe DOC","","Zachys","6/12/2014","OrderId:100000261","Kitchen Cooler","66-C"
"200000725","0","0200000725","W2040138_750ml","61.36","750ml","2040138","Red","2014","Domaine Lignier-Michelot Clos de la Roche","Domaine Lignier-Michelot","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos de la Roche Grand Cru","","Wally's","7/3/2014","OrderId:100000274","Off-site Storage","68-B"
"200000750","0","0200000750","W689031_750ml","101.15","750ml","689031","Red","1974","Ridge Zinfandel Monte Bello","Ridge","Zinfandel","Unknown","Monte Bello","USA","California","Santa Cruz Mountains","Santa Cruz Mountains","","WineBid","7/26/2014","OrderId:100000277","Off-site Storage","39-D"
"200000751","0","0200000751","W1189939_750ml","75.47","750ml","1189939","Red","2010","Jacques-Frédéric Mugnier Nuits-Saint-Georges 1er Cru Clos de la Maréchale","Jacques-Frédéric Mugnier","Pinot Noir","Unknown","Clos de la Maréchale","France","Burgundy","Côte de Nuits","Nuits-Saint-Georges 1er Cru","","Spectrum Wine Auctions","7/16/2014","OrderId:100000278","Off-site Storage","59-F"
"200000755","0","0200000755","W1372_750ml","148.83","750ml","1372","Red","1989","Château Pichon Longueville Comtesse de Lalande","Château Pichon Longueville Comtesse de Lalande","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac","","Zachys","7/7/2014","OrderId:100000281","Cellar Room","30-D"
"200000761","0","0200000761","W2030020_750ml","214.06","750ml","2030020","Red","2013","Domaine Armand Rousseau Père et Fils Charmes-Chambertin","Domaine Armand Rousseau Père et Fils","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Charmes-Chambertin Grand Cru","","Premier Cru","7/16/2014","OrderId:100000282","Kitchen Cooler","04-B"
"200000776","0","0200000776","W87135_750ml","22.36","750ml","87135","Red","1992","A. Rafanelli Zinfandel","A. Rafanelli","Zinfandel","Unknown","Unknown","USA","California","Sonoma County","Dry Creek Valley","","Spectrum Wine Auctions","8/23/2014","OrderId:100000290","Kitchen Cooler","64-F"
"200000790","0","0200000790","W363353_750ml","58.89","750ml","363353","Red","2006","Château de Beaucastel Châteauneuf-du-Pape","Château de Beaucastel","Red Rhone Blend","Unknown","Unknown","France","Rhône","Southern Rhône","Châteauneuf-du-Pape","","Hart Davis Hart","8/6/2014","OrderId:100000294","Kitchen Cooler","56-A"
"200000792","0","0200000792","W363353_750ml","58.89","750ml","363353","Red","2006","Château de Beaucastel Châteauneuf-du-Pape","Château de Beaucastel","Red Rhone Blend","Unknown","Unknown","France","Rhône","Southern Rhône","Châteauneuf-du-Pape","signs of past seepage","Hart Davis Hart","8/6/2014","OrderId:100000294","Off-site Storage","31-C"
"200000796","0","0200000796","W2894456_750ml","65.89","750ml","2894456","Red","2014","Vietti Barolo Rocche di Castiglione","Vietti","Nebbiolo","Unknown","Rocche di Castiglione","Italy","Piedmont","Langhe","Barolo","","Storyteller","9/13/2014","OrderId:100000296","Off-site Storage","02-E"
"200000812","0","0200000812","W1386884_750ml","37.61","750ml","1386884","Red","2010","Williams Selyem Pinot Noir Hirsch Vineyard","Williams Selyem","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","","Mailing List","9/10/2014","OrderId:500000002","Kitchen Cooler",""
"200000823","0","0200000823","W1243816_750ml","127.51","750ml","1243816","Red","2009","Domaine Méo-Camuzet Clos Vougeot Près le Cellier","Domaine Méo-Camuzet","Pinot Noir","Près le Cellier","Unknown","France","Burgundy","Côte de Nuits","Clos Vougeot Grand Cru","","Zachys","9/27/2014","OrderId:100000303","Cellar Room","20-B"
"200000826","0","0200000826","W1243816_750ml","127.51","750ml","1243816","Red","2009","Domaine Méo-Camuzet Clos Vougeot Près le Cellier","Domaine Méo-Camuzet","Pinot Noir","Près le Cellier","Unknown","France","Burgundy","Côte de Nuits","Clos Vougeot Grand Cru","nicked capsule","Zachys","9/27/2014","OrderId:100000303","Kitchen Cooler","95-B"
"200000836","0","0200000836","W3508503_750ml","16.10","750ml","3508503","Red","1985","Château de Haute-Serre Cahors Grand Vin Seigneur","Château de Haute-Serre","Malbec Blend","Grand Vin Seigneur","Unknown","France","Southwest France","Unknown","Cahors","","Liner & Elsen","9/13/2014","OrderId:100000306","Cellar Room",""
"200000851","0","0200000851","W1745791_750ml","25.89","750ml","1745791","Red","2009","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","Williams Selyem","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley","lightly scuffed label","Spectrum Wine Auctions","9/20/2014","OrderId:100000311","Cellar Room","27-B"
"200000862","0","0200000862","W1643233_750ml","39.74","750ml","1643233","Red","2011","Williams Selyem Pinot Noir Burt Williams' Morning Dew Ranch","Williams Selyem","Pinot Noir","Unknown","Burt Williams' Morning Dew Ranch","USA","California","North Coast","Anderson Valley","","Garagiste","9/1/2014","OrderId:100000316","Off-site Storage","72-D"
"200000863","0","0200000863","W1821912_750ml","83.45","750ml","1821912","Red","2013","Alvaro Palacios Priorat Finca Dofí","Alvaro Palacios","Grenache Blend","Finca Dofí","Unknown","Spain","Catalunya","Unknown","Priorat","","Wally's","9/3/2014","OrderId:100000317","Cellar Room","96-F"
"200000864","0","0200000864","W1821912_750ml","83.45","750ml","1821912","Red","2013","Alvaro Palacios Priorat Finca Dofí","Alvaro Palacios","Grenache Blend","Finca Dofí","Unknown","Spain","Catalunya","Unknown","Priorat","","Wally's","9/3/2014","OrderId:100000317","Cellar Room","21-E"
"200000878","0","0200000878","W475_750ml","114.04","750ml","475","Red","2000","Château Lynch-Bages","Château Lynch-Bages","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac","","Spectrum Wine Auctions","9/3/2014","OrderId:100000324","Off-site Storage","07-A"
"200000902","0","0200000902","W1542365_750ml","20.63","750ml","1542365","Red","2011","Domaine Michel Lafarge Volnay Vendanges Sélectionnées","Domaine Michel Lafarge","Pinot Noir","Vendanges Sélectionnées","Unknown","France","Burgundy","Côte de Beaune","Volnay","","Zachys","10/1/2014","OrderId:100000333","Cellar Room","33-E"
"200000903","0","0200000903","W4442038_1.5L","114.48","1.5L","4442038","White - Sparkling","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs La Colline Inspirée","Jacques Lassaigne","Chardonnay","Extra Brut Blanc de Blancs La Colline Inspirée","Unknown","France","Champagne","Unknown","Champagne","","Hart Davis Hart","10/23/2014","OrderId:100000334","Cellar Room","22-B"
"200000909","0","0200000909","W1745791_750ml","33.02","750ml","1745791","Red","2009","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","Williams Selyem","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley","","Acker Merrall","10/16/2014","OrderId:100000336","Kitchen Cooler","30-A"
"200000910","0","0200000910","W1745791_750ml","33.02","750ml","1745791","Red","2009","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","Williams Selyem","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley","","Acker Merrall","10/16/2014","OrderId:100000336","Cellar Room","47-E"
"200000912","0","0200000912","W928568_1.5L","585.53","1.5L","928568","Red","2010","Domaine Comte Georges de Vogüé Musigny Cuvée Vieilles Vignes","Domaine Comte Georges de Vogüé","Pinot Noir","Cuvée Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Musigny Grand Cru","","Acker Merrall","10/24/2014","OrderId:100000337","Cellar Room","57-F"
"200000913","0","0200000913","W928568_1.5L","585.53","1.5L","928568","Red","2010","Domaine Comte Georges de Vogüé Musigny Cuvée Vieilles Vignes","Domaine Comte Georges de Vogüé","Pinot Noir","Cuvée Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Musigny Grand Cru","","Acker Merrall","10/24/2014","OrderId:100000337","Kitchen Cooler","58-C"
"200000915","0","0200000915","W928568_1.5L","585.53","1.5L","928568","Red","2010","Domaine Comte Georges de Vogüé Musigny Cuvée Vieilles Vignes","Domaine Comte Georges de Vogüé","Pinot Noir","Cuvée Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Musigny Grand Cru","","Acker Merrall","10/24/2014","OrderId:100000337","Off-site Storage",""
"200000918","0","0200000918","W5094335_750ml","26.19","750ml","5094335","White","2012","Daniel-Etienne Defaix Chablis 1er Cru Les Lys","Daniel-Etienne Defaix","Chardonnay","Unknown","Les Lys","France","Burgundy","Chablis","Chablis 1er Cru","","WineBid","10/14/2014","OrderId:100000339","Off-site Storage","84-A"
"200000921","0","0200000921","W224317_750ml","25.37","750ml","224317","Red","2004","Williams Selyem Pinot Noir Hirsch Vineyard","Williams Selyem","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","","Mailing List","10/27/2014","OrderId:500000003","Off-site Storage","95-B"
"200000933","0","0200000933","W2061850_1.5L","49.59","1.5L","2061850","Red","2013","Failla Pinot Noir Hirsch Vineyard","Failla","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","","Hart Davis Hart","10/16/2014","OrderId:100000346","Cellar Room","17-D"
"200000934","0","0200000934","W2061850_1.5L","49.59","1.5L","2061850","Red","2013","Failla Pinot Noir Hirsch Vineyard","Failla","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","","Hart Davis Hart","10/16/2014","OrderId:100000346","Cellar Room","16-B"
"200000940","0","0200000940","W1745791_750ml","31.32","750ml","1745791","Red","2009","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","Williams Selyem","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley","","Acker Merrall","10/10/2014","OrderId:100000350","Cellar Room","35-F"
"200000944","0","0200000944","W1987659_750ml","44.41","750ml","1987659","Red","2013","Domaine Jamet Côtes du Rhône","Domaine Jamet","Syrah","Unknown","Unknown","France","Rhône","Northern Rhône","Côtes du Rhône","","Hart Davis Hart","10/9/2014","OrderId:100000351","Off-site Storage","09-A"
"200000945","0","0200000945","W1987659_750ml","44.41","750ml","1987659","Red","2013","Domaine Jamet Côtes du Rhône","Domaine Jamet","Syrah","Unknown","Unknown","France","Rhône","Northern Rhône","Côtes du Rhône","","Hart Davis Hart","10/9/2014","OrderId:100000351","Off-site Storage","04-D"
"200000946","0","0200000946","W1307758_750ml","63.76","750ml","1307758","Red","2009","Rene Rostaing Côte-Rôtie Cuvée Classique Ampodium","Rene Rostaing","Syrah","Cuvée Classique Ampodium","Unknown","France","Rhône","Northern Rhône","Côte-Rôtie","","K&L Auctions","10/10/2014","OrderId:100000352","Kitchen Cooler","41-C"
"200000949","0","0200000949","W2030020_750ml","199.43","750ml","2030020","Red","2013","Domaine Armand Rousseau Père et Fils Charmes-Chambertin","Domaine Armand Rousseau Père et Fils","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Charmes-Chambertin Grand Cru","","Wally's","10/16/2014","OrderId:100000354","Kitchen Cooler",""
"200000950","0","0200000950","W2030020_750ml","199.43","750ml","2030020","Red","2013","Domaine Armand Rousseau Père et Fils Charmes-Chambertin","Domaine Armand Rousseau Père et Fils","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Charmes-Chambertin Grand Cru","","Wally's","10/16/2014","OrderId:100000354","Kitchen Cooler","62-E"
"200000958","0","0200000958","W15181_750ml","61.63","750ml","15181","Red","1989","Pétrus","Pétrus","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Libournais","Pomerol","","Spectrum Wine Auctions","10/16/2014","OrderId:100000356","Cellar Room","88-B"
"200000970","0","0200000970","W1777486_750ml","76.94","750ml","1777486","Red","2012","Bernard Dugat-Py Gevrey-Chambertin 1er Cru Lavaux St. Jacques","Bernard Dugat-Py","Pinot Noir","Unknown","Lavaux St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","WineBid","10/5/2014","OrderId:100000359","Cellar Room",""
"200000982","0","0200000982","W2061850_750ml","21.49","750ml","2061850","Red","2013","Failla Pinot Noir Hirsch Vineyard","Failla","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","","Spectrum Wine Auctions","11/16/2014","OrderId:100000363","Kitchen Cooler","58-D"
"200000985","0","0200000985","W2454956_1.5L","0.00","1.5L","2454956","Red","2015","Rhys Pinot Noir Bearwallow Vineyard","Rhys","Pinot Noir","Unknown","Bearwallow Vineyard","USA","California","North Coast","Anderson Valley","","Gift","11/7/2014","OrderId:100000365","Off-site Storage","54-A"
"200000989","0","0200000989","W589259_750ml","0.00","750ml","589259","Red","2007","Williams Selyem Pinot Noir Bucher Vineyard","Williams Selyem","Pinot Noir","Unknown","Bucher Vineyard","USA","California","Sonoma County","Russian River Valley","","Gift","11/21/2014","OrderId:100000367","Kitchen Cooler","07-A"
"200000991","0","0200000991","W3957104_1.5L","112.34","1.5L","3957104","Red","2017","La Spinetta (Rivetti) Barolo Vürsù Vigneto Campè","La Spinetta (Rivetti)","Nebbiolo","Vürsù","Vigneto Campè","Italy","Piedmont","Langhe","Barolo","signs of past seepage","WineBid","11/10/2014","OrderId:100000368","Cellar Room","43-E"
"200000995","0","0200000995","W1738775_750ml","56.51","750ml","1738775","Red","2010","Bartolo Mascarello Barolo","Bartolo Mascarello","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Barolo","","Chambers Street","11/17/2014","OrderId:100000370","Cellar Room","68-C"
"200001004","0","0200001004","W2117533_750ml","83.46","750ml","2117533","Red","2015","Château Montrose","Château Montrose","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Saint-Estèphe","","Hart Davis Hart","11/27/2014","OrderId:100000375","Cellar Room","24-D"
"200001010","0","0200001010","W4196725_750ml","35.98","750ml","4196725","Red","2012","Louis Jadot Gevrey-Chambertin 1er Cru Lavaux St. Jacques Domaine Louis Jadot","Louis Jadot","Pinot Noir","Domaine Louis Jadot","Lavaux St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Wally's","11/2/2014","OrderId:100000377","Off-site Storage","73-B"
"200001011","0","0200001011","W4196725_750ml","35.98","750ml","4196725","Red","2012","Louis Jadot Gevrey-Chambertin 1er Cru Lavaux St. Jacques Domaine Louis Jadot","Louis Jadot","Pinot Noir","Domaine Louis Jadot","Lavaux St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Wally's","11/2/2014","OrderId:100000377","Kitchen Cooler","24-F"
"200001015","0","0200001015","W4196725_750ml","35.98","750ml","4196725","Red","2012","Louis Jadot Gevrey-Chambertin 1er Cru Lavaux St. Jacques Domaine Louis Jadot","Louis Jadot","Pinot Noir","Domaine Louis Jadot","Lavaux St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Wally's","11/2/2014","OrderId:100000377","Cellar Room","61-E"
"200001016","0","0200001016","W4196725_750ml","35.98","750ml","4196725","Red","2012","Louis Jadot Gevrey-Chambertin 1er Cru Lavaux St. Jacques Domaine Louis Jadot","Louis Jadot","Pinot Noir","Domaine Louis Jadot","Lavaux St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Wally's","11/2/2014","OrderId:100000377","Kitchen Cooler","78-C"
"200001020","0","0200001020","W3719849_750ml","86.39","750ml","3719849","Red","2006","Romano Dal Forno Amarone della Valpolicella Vigneto di Monte Lodoletta","Romano Dal Forno","Corvina Blend","Unknown","Vigneto di Monte Lodoletta","Italy","Veneto","Valpolicella","Amarone della Valpolicella","","Acker Merrall","11/20/2014","OrderId:100000379","Cellar Room","78-F"
"200001021","0","0200001021","W3719849_750ml","86.39","750ml","3719849","Red","2006","Romano Dal Forno Amarone della Valpolicella Vigneto di Monte Lodoletta","Romano Dal Forno","Corvina Blend","Unknown","Vigneto di Monte Lodoletta","Italy","Veneto","Valpolicella","Amarone della Valpolicella","","Acker Merrall","11/20/2014","OrderId:100000379","Cellar Room","51-D"
"200001037","0","0200001037","W1077688_750ml","34.14","750ml","1077688","Red","2009","Domaine de Montille Volnay 1er Cru Champans","Domaine de Montille","Pinot Noir","Unknown","Champans","France","Burgundy","Côte de Beaune","Volnay 1er Cru","","Spectrum Wine Auctions","12/15/2014","OrderId:100000383","Cellar Room","58-E"
"200001039","0","0200001039","W65892_750ml","15.51","750ml","65892","White - Sparkling","1001","Ruinart Champagne Blanc de Blancs Brut","Ruinart","Chardonnay","Blanc de Blancs Brut","Unknown","France","Champagne","Unknown","Champagne","","Hart Davis Hart","12/17/2014","OrderId:100000384","Kitchen Cooler",""
