"iConsumed","iWine","Type","Consumed","ConsumedYear","ConsumedMonth","ConsumedDay","Size","ShortType","Currency","Value","Price","Revenue","RevenueCurrency","ConsumptionNote","PurchaseNote","BottleNote","Location","Bin","Vintage","Wine","Locale","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"50000010","3207973","Rosé","6/20/2013","2013","6","20","750ml","Drank from my cellar","USD","81.03","81.03","0","USD","","OrderId:100000005","","Cellar Room","92-A","2009","R. López de Heredia Rioja Rosado Gran Reserva Viña Tondonia","Spain, La Rioja, La Rioja Alta, Rioja","Red","Dry","Grenache Blend","Grenache","Rosado Gran Reserva","Viña Tondonia","Spain","La Rioja","La Rioja Alta","Rioja"
"50000011","3207973","Rosé","6/23/2013","2013","6","23","750ml","Drank from my cellar","USD","81.03","81.03","0","USD","","OrderId:100000005","","Cellar Room","65-C","2009","R. López de Heredia Rioja Rosado Gran Reserva Viña Tondonia","Spain, La Rioja, La Rioja Alta, Rioja","Red","Dry","Grenache Blend","Grenache","Rosado Gran Reserva","Viña Tondonia","Spain","La Rioja","La Rioja Alta","Rioja"
"50000012","3207973","Rosé","6/28/2013","2013","6","28","750ml","Drank from my cellar","USD","81.03","81.03","0","USD","","OrderId:100000005","","Kitchen Cooler","11-D","2009","R. López de Heredia Rioja Rosado Gran Reserva Viña Tondonia","Spain, La Rioja, La Rioja Alta, Rioja","Red","Dry","Grenache Blend","Grenache","Rosado Gran Reserva","Viña Tondonia","Spain","La Rioja","La Rioja Alta","Rioja"
"50000013","299675","Red","8/23/2013","2013","8","23","750ml","Drank from my cellar","USD","38.37","38.37","0","USD","","OrderId:100000006","","Kitchen Cooler","92-B","1996","Château Bel Air-Marquis d'Aligre","France, Bordeaux, Médoc, Margaux","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux"
"50000014","299675","Red","8/12/2013","2013","8","12","750ml","Missing","USD","38.37","38.37","0","USD","Inventory audit — bottle not found.","OrderId:100000006","","Cellar Room","81-A","1996","Château Bel Air-Marquis d'Aligre","France, Bordeaux, Médoc, Margaux","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux"
"50000015","224093","Red","6/7/2013","2013","6","7","750ml","Drank from my cellar","USD","68.09","68.09","0","USD","salad and leftovers with Ellen","OrderId:100000007","","Cellar Room","06-C","2005","Château Giscours","France, Bordeaux, Médoc, Margaux","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux"
"50000016","224093","Red","6/27/2013","2013","6","27","750ml","Missing","USD","68.09","68.09","0","USD","Inventory audit — bottle not found.","OrderId:100000007","","Cellar Room","82-C","2005","Château Giscours","France, Bordeaux, Médoc, Margaux","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux"
"50000017","224093","Red","6/28/2013","2013","6","28","750ml","Drank from my cellar","USD","68.09","68.09","0","USD","","OrderId:100000007","","Cellar Room","31-A","2005","Château Giscours","France, Bordeaux, Médoc, Margaux","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux"
"50000018","224093","Red","6/11/2013","2013","6","11","750ml","Drank from my cellar","USD","68.09","68.09","0","USD","","OrderId:100000007","","Cellar Room","77-B","2005","Château Giscours","France, Bordeaux, Médoc, Margaux","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux"
"50000019","224093","Red","5/27/2013","2013","5","27","750ml","Drank from my cellar","USD","68.09","68.09","0","USD","","OrderId:100000007","","Cellar Room","39-A","2005","Château Giscours","France, Bordeaux, Médoc, Margaux","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux"
"50000020","224093","Red","6/5/2013","2013","6","5","750ml","Missing","USD","68.09","68.09","0","USD","Inventory audit — bottle not found.","OrderId:100000007","","Cellar Room","06-A","2005","Château Giscours","France, Bordeaux, Médoc, Margaux","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux"
"50000021","58564","Red","7/12/2013","2013","7","12","750ml","Drank from my cellar","USD","102.39","102.39","0","USD","Burgundy GC night — July 2013","OrderId:100000008","","Cellar Room","20-B","1999","Domaine Ponsot Clos de la Roche Vieilles Vignes","France, Burgundy, Côte de Nuits, Clos de la Roche Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Clos de la Roche Grand Cru"
"50000022","58564","Red","6/24/2013","2013","6","24","750ml","Drank from my cellar","USD","102.39","102.39","0","USD","Burgundy GC night — July 2013","OrderId:100000008","","Cellar Room","","1999","Domaine Ponsot Clos de la Roche Vieilles Vignes","France, Burgundy, Côte de Nuits, Clos de la Roche Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Clos de la Roche Grand Cru"
"50000023","3401","Red","6/20/2013","2013","6","20","750ml","Drank from my cellar","USD","68.81","68.81","0","USD","","OrderId:100000009","","Cellar Room","49-C","2000","Château Beychevelle","France, Bordeaux, Médoc, Saint-Julien","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Saint-Julien"
"50000024","442498","Red","8/11/2013","2013","8","11","750ml","Drank from my cellar","USD","169.47","169.47","0","USD","","OrderId:100000010","","Cellar Room","12-F","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Italy, Piedmont, Langhe, Barolo","Red","Dry","Nebbiolo","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo"
"50000025","442498","Red","8/8/2013","2013","8","8","750ml","Drank from my cellar","USD","169.47","169.47","0","USD","","OrderId:100000010","","Cellar Room","91-B","2004","Bruno Giacosa Barolo Falletto di Serralunga d'Alba","Italy, Piedmont, Langhe, Barolo","Red","Dry","Nebbiolo","Nebbiolo","Unknown","Falletto di Serralunga d'Alba","Italy","Piedmont","Langhe","Barolo"
"50000026","917118","Red","7/2/2013","2013","7","2","750ml","Drank from my cellar","USD","35.15","35.15","0","USD","","OrderId:100000011","","Off-site Storage","90-B","2009","Joseph Drouhin Beaune 1er Cru Clos des Mouches Rouge","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Rouge","Clos des Mouches","France","Burgundy","Côte de Beaune","Beaune 1er Cru"
"50000027","2007640","Red","6/17/2013","2013","6","17","750ml","Drank from my cellar","USD","23.15","23.15","0","USD","","OrderId:100000012","","Cellar Room","77-A","2013","Domaine Robert Chevillon Nuits-Saint-Georges 1er Cru Les Chaignots","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Chaignots","France","Burgundy","Côte de Nuits","Nuits-Saint-Georges 1er Cru"
"50000028","2007640","Red","6/13/2013","2013","6","13","750ml","Drank from my cellar","USD","23.15","23.15","0","USD","","OrderId:100000012","","Cellar Room","13-A","2013","Domaine Robert Chevillon Nuits-Saint-Georges 1er Cru Les Chaignots","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Chaignots","France","Burgundy","Côte de Nuits","Nuits-Saint-Georges 1er Cru"
"50000029","2007640","Red","6/14/2013","2013","6","14","750ml","Drank from my cellar","USD","23.15","23.15","0","USD","","OrderId:100000012","","Off-site Storage","86-D","2013","Domaine Robert Chevillon Nuits-Saint-Georges 1er Cru Les Chaignots","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Chaignots","France","Burgundy","Côte de Nuits","Nuits-Saint-Georges 1er Cru"
"50000030","2007640","Red","6/10/2013","2013","6","10","750ml","Drank from my cellar","USD","23.15","23.15","0","USD","","OrderId:100000012","","Kitchen Cooler","34-F","2013","Domaine Robert Chevillon Nuits-Saint-Georges 1er Cru Les Chaignots","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Chaignots","France","Burgundy","Côte de Nuits","Nuits-Saint-Georges 1er Cru"
"50000031","2007640","Red","6/6/2013","2013","6","6","750ml","Drank from my cellar","USD","23.15","23.15","0","USD","","OrderId:100000012","","Off-site Storage","81-E","2013","Domaine Robert Chevillon Nuits-Saint-Georges 1er Cru Les Chaignots","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Chaignots","France","Burgundy","Côte de Nuits","Nuits-Saint-Georges 1er Cru"
"50000032","1745791","Red","6/24/2013","2013","6","24","750ml","Drank from my cellar","USD","29.06","29.06","0","USD","","OrderId:100000013","","Cellar Room","75-F","2009","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","USA, California, Sonoma County, Russian River Valley","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley"
"50000033","1745791","Red","6/13/2013","2013","6","13","750ml","Drank from my cellar","USD","29.06","29.06","0","USD","","OrderId:100000013","","Kitchen Cooler","34-F","2009","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","USA, California, Sonoma County, Russian River Valley","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley"
"50000034","1745791","Red","6/13/2013","2013","6","13","750ml","Drank from my cellar","USD","29.06","29.06","0","USD","","OrderId:100000013","nicked capsule","Cellar Room","24-B","2009","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","USA, California, Sonoma County, Russian River Valley","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley"
"50000035","1030769","Red","7/24/2013","2013","7","24","750ml","Drank from my cellar","USD","45.26","45.26","0","USD","stir-fry with Ellen","OrderId:100000014","","Cellar Room","78-C","2009","Philip Togni Cabernet Sauvignon","USA, California, Napa Valley, Spring Mountain District","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Spring Mountain District"
"50000036","1030769","Red","8/7/2013","2013","8","7","750ml","Drank from my cellar","USD","45.26","45.26","0","USD","grilled salmon with Ellen","OrderId:100000014","","Cellar Room","55-B","2009","Philip Togni Cabernet Sauvignon","USA, California, Napa Valley, Spring Mountain District","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Spring Mountain District"
"50000037","1030769","Red","7/28/2013","2013","7","28","750ml","Drank from my cellar","USD","45.26","45.26","0","USD","California Cab vertical — October 2013","OrderId:100000014","","Cellar Room","43-B","2009","Philip Togni Cabernet Sauvignon","USA, California, Napa Valley, Spring Mountain District","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Spring Mountain District"
"50000038","2894456","Red","5/22/2013","2013","5","22","1.5L","Drank from my cellar","USD","130.69","130.69","0","USD","","OrderId:100000015","","Cellar Room","","2014","Vietti Barolo Rocche di Castiglione","Italy, Piedmont, Langhe, Barolo","Red","Dry","Nebbiolo","Nebbiolo","Unknown","Rocche di Castiglione","Italy","Piedmont","Langhe","Barolo"
"50000039","2894456","Red","5/22/2013","2013","5","22","1.5L","Drank from my cellar","USD","130.69","130.69","0","USD","","OrderId:100000015","bin-soiled label","Cellar Room","71-B","2014","Vietti Barolo Rocche di Castiglione","Italy, Piedmont, Langhe, Barolo","Red","Dry","Nebbiolo","Nebbiolo","Unknown","Rocche di Castiglione","Italy","Piedmont","Langhe","Barolo"
"50000040","2894456","Red","5/22/2013","2013","5","22","1.5L","Drank from my cellar","USD","130.69","130.69","0","USD","","OrderId:100000015","top-shoulder fill","Cellar Room","14-B","2014","Vietti Barolo Rocche di Castiglione","Italy, Piedmont, Langhe, Barolo","Red","Dry","Nebbiolo","Nebbiolo","Unknown","Rocche di Castiglione","Italy","Piedmont","Langhe","Barolo"
"50000041","224317","Red","9/27/2013","2013","9","27","750ml","Drank from my cellar","USD","29.00","29.00","0","USD","tacos with Ellen","OrderId:100000016","","Cellar Room","","2004","Williams Selyem Pinot Noir Hirsch Vineyard","USA, California, Sonoma County, Sonoma Coast","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast"
"50000042","1573405","Red","6/21/2017","2017","6","21","1.5L","Drank from my cellar","USD","70.89","70.89","0","USD","","OrderId:100000017","","Kitchen Cooler","62-F","2011","Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses","France, Burgundy, Côte de Beaune, Monthélie 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Duresses","France","Burgundy","Côte de Beaune","Monthélie 1er Cru"
"50000043","1573405","Red","10/13/2013","2013","10","13","1.5L","Drank from my cellar","USD","70.89","70.89","0","USD","","OrderId:100000017","","Off-site Storage","28-A","2011","Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses","France, Burgundy, Côte de Beaune, Monthélie 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Duresses","France","Burgundy","Côte de Beaune","Monthélie 1er Cru"
"50000044","1573405","Red","11/11/2013","2013","11","11","1.5L","Drank from my cellar","USD","70.89","70.89","0","USD","","OrderId:100000017","","Cellar Room","07-E","2011","Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses","France, Burgundy, Côte de Beaune, Monthélie 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Duresses","France","Burgundy","Côte de Beaune","Monthélie 1er Cru"
"50000045","1573405","Red","10/22/2013","2013","10","22","1.5L","Flawed","USD","70.89","70.89","0","USD","Premature oxidation. Sherry character throughout.","OrderId:100000017","","Off-site Storage","84-B","2011","Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses","France, Burgundy, Côte de Beaune, Monthélie 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Duresses","France","Burgundy","Côte de Beaune","Monthélie 1er Cru"
"50000046","1573405","Red","12/15/2013","2013","12","15","1.5L","Missing","USD","70.89","70.89","0","USD","Inventory audit — bottle not found.","OrderId:100000017","","Off-site Storage","","2011","Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses","France, Burgundy, Côte de Beaune, Monthélie 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Les Duresses","France","Burgundy","Côte de Beaune","Monthélie 1er Cru"
"50000047","1608","Red","6/18/2022","2022","6","18","750ml","Sold","USD","116.08","116.08","98.67","USD","Zachys consignment, June 2022","OrderId:100000018","","Off-site Storage","25-C","1986","Château Lynch-Bages","France, Bordeaux, Médoc, Pauillac","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac"
"50000048","1608","Red","6/18/2022","2022","6","18","750ml","Sold","USD","116.08","116.08","98.67","USD","Zachys consignment, June 2022","OrderId:100000018","","Cellar Room","49-A","1986","Château Lynch-Bages","France, Bordeaux, Médoc, Pauillac","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac"
"50000049","1608","Red","3/28/2022","2022","3","28","750ml","Drank from my cellar","USD","116.08","116.08","0","USD","","OrderId:100000018","","Cellar Room","97-E","1986","Château Lynch-Bages","France, Bordeaux, Médoc, Pauillac","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac"
"50000050","4778","Red","10/8/2017","2017","10","8","750ml","Drank from my cellar","USD","56.26","56.26","0","USD","Bordeaux first-growth flight — October 2023","OrderId:100000019","","Off-site Storage","63-B","1989","Château Latour Grand Vin","France, Bordeaux, Médoc, Pauillac","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Grand Vin","Unknown","France","Bordeaux","Médoc","Pauillac"
"50000051","4778","Red","10/15/2017","2017","10","15","750ml","Drank from my cellar","USD","56.26","56.26","0","USD","Bordeaux first-growth flight — October 2017","OrderId:100000019","","Cellar Room","12-B","1989","Château Latour Grand Vin","France, Bordeaux, Médoc, Pauillac","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Grand Vin","Unknown","France","Bordeaux","Médoc","Pauillac"
"50000052","3558306","Rosé - Sparkling","6/28/2013","2013","6","28","750ml","Drank from my cellar","USD","44.99","44.99","0","USD","","OrderId:100000020","","Cellar Room","75-A","2012","Bollinger Champagne La Grande Année Rosé","France, Champagne","Red","Dry","Champagne Blend","Champagne Blend","La Grande Année Rosé","Unknown","France","Champagne","Unknown","Champagne"
"50000053","4294986","Red","8/23/2013","2013","8","23","750ml","Flawed","USD","190.05","190.05","0","USD","Heat-damaged. Stewed and flat.","OrderId:100000021","signs of past seepage","Cellar Room","59-F","2000","Emidio Pepe Montepulciano d'Abruzzo Vecchie Vigne","Italy, Abruzzi, Montepulciano d'Abruzzo","Red","Dry","Montepulciano","Montepulciano","Vecchie Vigne","Unknown","Italy","Abruzzi","Unknown","Montepulciano d'Abruzzo"
"50000054","4294986","Red","9/27/2013","2013","9","27","750ml","Drank from my cellar","USD","190.05","190.05","0","USD","","OrderId:100000021","","Off-site Storage","","2000","Emidio Pepe Montepulciano d'Abruzzo Vecchie Vigne","Italy, Abruzzi, Montepulciano d'Abruzzo","Red","Dry","Montepulciano","Montepulciano","Vecchie Vigne","Unknown","Italy","Abruzzi","Unknown","Montepulciano d'Abruzzo"
"50000055","829003","Red","9/18/2013","2013","9","18","750ml","Drank from my cellar","USD","82.22","82.22","0","USD","","OrderId:100000022","","Cellar Room","23-E","2006","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","France, Burgundy, Côte de Nuits, Chambolle-Musigny 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru"
"50000056","829003","Red","10/19/2013","2013","10","19","750ml","Drank from my cellar","USD","82.22","82.22","0","USD","","OrderId:100000022","nicked capsule","Cellar Room","41-C","2006","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","France, Burgundy, Côte de Nuits, Chambolle-Musigny 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru"
"50000057","829003","Red","7/26/2013","2013","7","26","750ml","Drank from my cellar","USD","82.22","82.22","0","USD","","OrderId:100000022","","Kitchen Cooler","48-A","2006","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","France, Burgundy, Côte de Nuits, Chambolle-Musigny 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru"
"50000058","829003","Red","7/22/2013","2013","7","22","750ml","Drank from my cellar","USD","82.22","82.22","0","USD","","OrderId:100000022","","Kitchen Cooler","76-D","2006","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","France, Burgundy, Côte de Nuits, Chambolle-Musigny 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru"
"50000059","829003","Red","7/24/2013","2013","7","24","750ml","Drank from my cellar","USD","82.22","82.22","0","USD","","OrderId:100000022","","Cellar Room","53-B","2006","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","France, Burgundy, Côte de Nuits, Chambolle-Musigny 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru"
"50000060","1608","Red","7/20/2013","2013","7","20","750ml","Drank from my cellar","USD","103.05","103.05","0","USD","","OrderId:100000023","","Off-site Storage","18-D","1986","Château Lynch-Bages","France, Bordeaux, Médoc, Pauillac","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac"
"50000061","2611451","Red","6/19/2013","2013","6","19","750ml","Drank from my cellar","USD","80.88","80.88","0","USD","","OrderId:100000024","","Off-site Storage","29-E","2014","Pride Mountain Vineyards Reserve Claret","USA, California, North Coast, Napa / Sonoma","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Reserve Claret","Unknown","USA","California","North Coast","Napa / Sonoma"
"50000062","1102948","Red","7/10/2013","2013","7","10","750ml","Drank from my cellar","USD","74.18","74.18","0","USD","","OrderId:100000025","","Cellar Room","31-A","2007","Vietti Barolo Brunate","Italy, Piedmont, Langhe, Barolo","Red","Dry","Nebbiolo","Nebbiolo","Unknown","Brunate","Italy","Piedmont","Langhe","Barolo"
"50000063","2039652","Red","2/9/2014","2014","2","9","750ml","Drank from my cellar","USD","32.00","32.00","0","USD","","OrderId:100000026","","Cellar Room","79-F","2013","Williams Selyem Pinot Noir Vista Verde Vineyard","USA, California, Central Coast, San Benito County","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Vista Verde Vineyard","USA","California","Central Coast","San Benito County"
"50000064","2039652","Red","9/22/2013","2013","9","22","750ml","Drank from my cellar","USD","32.00","32.00","0","USD","","OrderId:100000026","","Cellar Room","42-E","2013","Williams Selyem Pinot Noir Vista Verde Vineyard","USA, California, Central Coast, San Benito County","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Vista Verde Vineyard","USA","California","Central Coast","San Benito County"
"50000065","2039652","Red","9/27/2013","2013","9","27","750ml","Drank from my cellar","USD","32.00","32.00","0","USD","","OrderId:100000026","top-shoulder fill","Cellar Room","","2013","Williams Selyem Pinot Noir Vista Verde Vineyard","USA, California, Central Coast, San Benito County","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Vista Verde Vineyard","USA","California","Central Coast","San Benito County"
"50000066","2039652","Red","10/28/2014","2014","10","28","750ml","Missing","USD","32.00","32.00","0","USD","Inventory audit — bottle not found.","OrderId:100000026","","Cellar Room","95-B","2013","Williams Selyem Pinot Noir Vista Verde Vineyard","USA, California, Central Coast, San Benito County","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Vista Verde Vineyard","USA","California","Central Coast","San Benito County"
"50000067","2039652","Red","9/21/2013","2013","9","21","750ml","Drank from my cellar","USD","32.00","32.00","0","USD","","OrderId:100000026","","Off-site Storage","89-C","2013","Williams Selyem Pinot Noir Vista Verde Vineyard","USA, California, Central Coast, San Benito County","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Vista Verde Vineyard","USA","California","Central Coast","San Benito County"
"50000068","2039652","Red","9/15/2013","2013","9","15","750ml","Drank from my cellar","USD","32.00","32.00","0","USD","","OrderId:100000026","","Off-site Storage","","2013","Williams Selyem Pinot Noir Vista Verde Vineyard","USA, California, Central Coast, San Benito County","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Vista Verde Vineyard","USA","California","Central Coast","San Benito County"
