"iNote","iWine","Type","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","TastingDate","Defective","Views","fHelpful","fFavorite","Rating","EventLocation","EventTitle","iEvent","EventDate","EventEndDate","TastingNotes","fLikeIt","CNotes","CScore","LikeVotes","LikePercent","Votes","Comments"
"10000010","224317","Red","2004","Williams Selyem Pinot Noir Hirsch Vineyard","USA, California, Sonoma County, Sonoma Coast","Williams Selyem","Pinot Noir","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","9/27/2013","False","0","","0","91","","","","","","Nose of rose petal, smoked meat. Palate shows structured grip, bright acidity, taut tannins. Pleasant if uncomplicated.","","","","","","",""
"10000011","4778","Red","1989","Château Latour Grand Vin","France, Bordeaux, Médoc, Pauillac","Château Latour","Red Bordeaux Blend","Red Bordeaux Blend","Grand Vin","Unknown","France","Bordeaux","Médoc","Pauillac","10/15/2023","False","0","","0","96","the cellar room","Bordeaux first-growth flight — October 2023","90000041","10/15/2023","10/15/2023","Nose of dark cherry, raspberry. Palate shows polished texture, structured grip, pretty fruit core. Hits its stride. A standout.","","","","","","",""
"10000012","4778","Red","1989","Château Latour Grand Vin","France, Bordeaux, Médoc, Pauillac","Château Latour","Red Bordeaux Blend","Red Bordeaux Blend","Grand Vin","Unknown","France","Bordeaux","Médoc","Pauillac","10/15/2017","False","0","","0","93","the cellar room","Bordeaux first-growth flight — October 2017","90000017","10/15/2017","10/15/2017","Nose of violets, wet stone. Palate shows taut tannins, long savory finish. Hits its stride.","","","","","","",""
"10000013","1608","Red","1986","Château Lynch-Bages","France, Bordeaux, Médoc, Pauillac","Château Lynch-Bages","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac","7/20/2013","False","0","","0","90","","","","","","Nose of cedar, graphite, smoked meat. Palate shows long savory finish, polished texture. Solid showing.","","","","","","",""
"10000014","2039652","Red","2013","Williams Selyem Pinot Noir Vista Verde Vineyard","USA, California, Central Coast, San Benito County","Williams Selyem","Pinot Noir","Pinot Noir","Unknown","Vista Verde Vineyard","USA","California","Central Coast","San Benito County","2/9/2014","False","0","","0","89","","","","","","Nose of wet stone, raspberry, blackberry. Palate shows iron and minerals, taut tannins. Pleasant if uncomplicated.","","","","","","",""
"10000015","2894456","Red","2014","Vietti Barolo Rocche di Castiglione","Italy, Piedmont, Langhe, Barolo","Vietti","Nebbiolo","Nebbiolo","Unknown","Rocche di Castiglione","Italy","Piedmont","Langhe","Barolo","7/9/2013","False","0","","0","92","","","","","","Nose of cedar, graphite. Palate shows earthy depth, polished texture. Better than expected.","","","","","","",""
"10000016","2061850","Red","2013","Failla Pinot Noir Hirsch Vineyard","USA, California, Sonoma County, Sonoma Coast","Failla","Pinot Noir","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","2/26/2014","False","0","","0","91","","","","","","Nose of iron filings, cedar, rose petal. Palate shows bright acidity, long savory finish. Good but not memorable.","","","","","","",""
"10000017","2527","White - Off-dry","2001","Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Spätlese","Germany, Mosel Saar Ruwer","Joh. Jos. Prüm","Riesling","Riesling","Spätlese","Wehlener Sonnenuhr","Germany","Mosel Saar Ruwer","Unknown","Unknown","7/6/2013","False","0","","0","92","","","","","","Nose of ginger, lemon zest. Palate shows creamy mid-palate, tight focus, nervy acidity. Better than expected.","","","","","","",""
"10000018","5094335","White","2012","Daniel-Etienne Defaix Chablis 1er Cru Les Lys","France, Burgundy, Chablis, Chablis 1er Cru","Daniel-Etienne Defaix","Chardonnay","Chardonnay","Unknown","Les Lys","France","Burgundy","Chablis","Chablis 1er Cru","9/11/2013","False","0","","0","90","","","","","","Nose of green apple, stone fruit, yellow plum. Palate shows ripe pear, creamy mid-palate, saline finish. Needs more time.","","","","","","",""
"10000019","2061850","Red","2013","Failla Pinot Noir Hirsch Vineyard","USA, California, Sonoma County, Sonoma Coast","Failla","Pinot Noir","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","5/19/2015","False","0","","0","89","","","","","","Nose of violets, blackberry. Palate shows polished texture, taut tannins, iron and minerals. Good but not memorable.","","","","","","",""
"10000020","1752163","Red","2002","AR.PE.PE. Valtellina Superiore - Sassella Riserva Rocce Rosse","Italy, Lombardia, Valtellina, Valtellina Superiore - Sassella","AR.PE.PE.","Nebbiolo","Nebbiolo","Riserva","Rocce Rosse","Italy","Lombardia","Valtellina","Valtellina Superiore - Sassella","6/1/2014","False","0","","0","93","","","","","","Nose of dark cherry, forest floor. Palate shows taut tannins, polished texture. Hits its stride.","","","","","","",""
"10000021","12901","Red","1995","Pride Mountain Vineyards Cabernet Sauvignon Reserve","USA, California, Napa Valley","Pride Mountain Vineyards","Cabernet Sauvignon","Cabernet Sauvignon","Reserve","Unknown","USA","California","Napa Valley","Napa Valley","10/15/2013","False","0","","0","92","the cellar room","California Cab vertical — October 2013","90000001","10/15/2013","10/15/2013","Nose of violets, wet stone. Palate shows taut tannins, pretty fruit core, earthy depth. Drinking beautifully.","","","","","","",""
"10000022","1575","Red","1995","Château Lynch-Bages","France, Bordeaux, Médoc, Pauillac","Château Lynch-Bages","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac","9/21/2013","False","0","","0","92","","","","","","Nose of dark cherry, blackberry. Palate shows earthy depth, polished texture. Pleasant if uncomplicated.","","","","","","",""
"10000023","80128","White - Sparkling","1001","André Clouet Champagne Grande Réserve Brut","France, Champagne","André Clouet","Pinot Noir","Pinot Noir","Grande Réserve Brut","Unknown","France","Champagne","Unknown","Champagne","12/25/2013","False","0","","0","93","","","","","","Nose of brioche, crushed chalk, lemon curd. Palate shows pinpoint bead, saline grip. Better than expected.","","","","","","",""
"10000024","2030020","Red","2013","Domaine Armand Rousseau Père et Fils Charmes-Chambertin","France, Burgundy, Côte de Nuits, Charmes-Chambertin Grand Cru","Domaine Armand Rousseau Père et Fils","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Charmes-Chambertin Grand Cru","4/15/2016","False","0","","0","88","the cellar room","Rousseau retrospective — April 2016","90000011","4/15/2016","4/15/2016","Nose of iron filings, wet stone. Palate shows structured grip, pretty fruit core. Needs more time.","","","","","","",""
"10000025","2039652","Red","2013","Williams Selyem Pinot Noir Vista Verde Vineyard","USA, California, Central Coast, San Benito County","Williams Selyem","Pinot Noir","Pinot Noir","Unknown","Vista Verde Vineyard","USA","California","Central Coast","San Benito County","11/20/2013","False","0","","0","92","","","","","","Nose of violets, blackberry, rose petal. Palate shows long savory finish, taut tannins. Hits its stride.","","","","","","",""
"10000026","1030769","Red","2009","Philip Togni Cabernet Sauvignon","USA, California, Napa Valley, Spring Mountain District","Philip Togni","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Spring Mountain District","4/15/2014","False","0","","0","89","the cellar room","California Cab vertical — April 2014","90000003","4/15/2014","4/15/2014","Nose of violets, raspberry. Palate shows earthy depth, iron and minerals. Good but not memorable.","","","","","","",""
"10000027","2061850","Red","2013","Failla Pinot Noir Hirsch Vineyard","USA, California, Sonoma County, Sonoma Coast","Failla","Pinot Noir","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","9/28/2014","False","0","","0","94","","","","","","Nose of rose petal, wet stone, graphite. Palate shows structured grip, taut tannins, pretty fruit core. Drinking beautifully.","","","","","","",""
"10000028","5778","Red","1999","Pride Mountain Vineyards Reserve Claret","USA, California, North Coast, Napa / Sonoma","Pride Mountain Vineyards","Red Bordeaux Blend","Red Bordeaux Blend","Reserve Claret","Unknown","USA","California","North Coast","Napa / Sonoma","5/28/2014","False","0","","0","93","","","","","","Nose of cedar, tobacco leaf, graphite. Palate shows bright acidity, pretty fruit core, polished texture. Hits its stride.","","","","","","",""
"10000029","1102948","Red","2007","Vietti Barolo Brunate","Italy, Piedmont, Langhe, Barolo","Vietti","Nebbiolo","Nebbiolo","Unknown","Brunate","Italy","Piedmont","Langhe","Barolo","9/27/2014","False","0","","0","89","","","","","","Nose of forest floor, graphite. Palate shows polished texture, earthy depth, bright acidity. Good but not memorable.","","","","","","",""
"10000030","769708","Red","2007","Bruno Giacosa Barbaresco Riserva Asili","Italy, Piedmont, Langhe, Barbaresco","Bruno Giacosa","Nebbiolo","Nebbiolo","Riserva","Asili","Italy","Piedmont","Langhe","Barbaresco","1/15/2016","False","0","","0","91","the cellar room","Piedmont Riserva tasting — January 2016","90000010","1/15/2016","1/15/2016","Nose of dark cherry, iron filings. Palate shows taut tannins, earthy depth, long savory finish. Pleasant if uncomplicated.","","","","","","",""
"10000031","769708","Red","2007","Bruno Giacosa Barbaresco Riserva Asili","Italy, Piedmont, Langhe, Barbaresco","Bruno Giacosa","Nebbiolo","Nebbiolo","Riserva","Asili","Italy","Piedmont","Langhe","Barbaresco","10/15/2018","False","0","","0","89","the cellar room","Piedmont Riserva tasting — October 2018","90000021","10/15/2018","10/15/2018","Nose of iron filings, blackberry, smoked meat. Palate shows polished texture, long savory finish, pretty fruit core. Good but not memorable.","","","","","","",""
"10000032","1508099","Red","1976","Ridge Cabernet-Merlot Monte Bello","USA, California, Santa Cruz Mountains","Ridge","Red Bordeaux Blend","Red Bordeaux Blend","Cabernet-Merlot","Monte Bello","USA","California","Santa Cruz Mountains","Santa Cruz Mountains","4/7/2014","False","0","","0","98","","","","","","Nose of tobacco leaf, dark cherry. Palate shows iron and minerals, polished texture. Outstanding bottle. A standout.","","","","","","",""
"10000033","2061850","Red","2013","Failla Pinot Noir Hirsch Vineyard","USA, California, Sonoma County, Sonoma Coast","Failla","Pinot Noir","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","7/12/2014","False","0","","0","89","","","","","","Nose of violets, tobacco leaf, raspberry. Palate shows long savory finish, iron and minerals. Solid showing.","","","","","","",""
"10000034","2061850","Red","2013","Failla Pinot Noir Hirsch Vineyard","USA, California, Sonoma County, Sonoma Coast","Failla","Pinot Noir","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","3/9/2014","False","0","","0","92","","","","","","Nose of forest floor, iron filings, tobacco leaf. Palate shows structured grip, taut tannins, bright acidity. Hits its stride.","","","","","","",""
"10000035","4778","Red","1989","Château Latour Grand Vin","France, Bordeaux, Médoc, Pauillac","Château Latour","Red Bordeaux Blend","Red Bordeaux Blend","Grand Vin","Unknown","France","Bordeaux","Médoc","Pauillac","1/15/2014","False","0","","0","89","the cellar room","Bordeaux first-growth flight — January 2014","90000002","1/15/2014","1/15/2014","Nose of violets, graphite, iron filings. Palate shows polished texture, iron and minerals, earthy depth. On track.","","","","","","",""
"10000036","4778","Red","1989","Château Latour Grand Vin","France, Bordeaux, Médoc, Pauillac","Château Latour","Red Bordeaux Blend","Red Bordeaux Blend","Grand Vin","Unknown","France","Bordeaux","Médoc","Pauillac","1/15/2014","False","0","","0","88","the cellar room","Bordeaux first-growth flight — January 2014","90000002","1/15/2014","1/15/2014","Nose of cedar, dark cherry, graphite. Palate shows bright acidity, polished texture, long savory finish. Pleasant if uncomplicated.","","","","","","",""
"10000037","98351","Red","1999","Giacomo Conterno Barolo Riserva Monfortino","Italy, Piedmont, Langhe, Barolo","Giacomo Conterno","Nebbiolo","Nebbiolo","Riserva Monfortino","Unknown","Italy","Piedmont","Langhe","Barolo","7/15/2017","False","0","","0","95","the cellar room","Piedmont Riserva tasting — July 2017","90000016","7/15/2017","7/15/2017","Nose of tobacco leaf, cedar, dark cherry. Palate shows pretty fruit core, earthy depth, long savory finish. Better than expected. A standout.","","","","","","",""
"10000038","2008","Red","2000","Château Lafite Rothschild","France, Bordeaux, Médoc, Pauillac","Château Lafite Rothschild","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac","1/15/2014","False","0","","0","86","the cellar room","Bordeaux first-growth flight — January 2014","90000002","1/15/2014","1/15/2014","Past its prime.","","","","","","",""
"10000039","2008","Red","2000","Château Lafite Rothschild","France, Bordeaux, Médoc, Pauillac","Château Lafite Rothschild","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac","1/15/2014","False","0","","0","90","the cellar room","Bordeaux first-growth flight — January 2014","90000002","1/15/2014","1/15/2014","Nose of raspberry, iron filings, tobacco leaf. Palate shows earthy depth, taut tannins, bright acidity. Needs more time.","","","","","","",""
"10000040","696714","Red","2008","Domaine des Lambrays Clos des Lambrays","France, Burgundy, Côte de Nuits, Clos des Lambrays Grand Cru","Domaine des Lambrays","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos des Lambrays Grand Cru","1/15/2017","False","0","","0","90","the cellar room","Burgundy GC night — January 2017","90000014","1/15/2017","1/15/2017","Nose of raspberry, dark cherry. Palate shows structured grip, taut tannins, pretty fruit core. On track.","","","","","","",""
"10000041","696714","Red","2008","Domaine des Lambrays Clos des Lambrays","France, Burgundy, Côte de Nuits, Clos des Lambrays Grand Cru","Domaine des Lambrays","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos des Lambrays Grand Cru","7/15/2014","False","0","","0","89","the cellar room","Burgundy GC night — July 2014","90000004","7/15/2014","7/15/2014","Nose of smoked meat, graphite. Palate shows long savory finish, iron and minerals, earthy depth. Needs more time.","","","","","","",""
"10000042","2894456","Red","2014","Vietti Barolo Rocche di Castiglione","Italy, Piedmont, Langhe, Barolo","Vietti","Nebbiolo","Nebbiolo","Unknown","Rocche di Castiglione","Italy","Piedmont","Langhe","Barolo","2/26/2015","False","0","","0","92","","","","","","Nose of cedar, smoked meat. Palate shows earthy depth, polished texture. Pleasant if uncomplicated.","","","","","","",""
"10000043","1768485","Red","2012","Domaine de Montille Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Domaine de Montille","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru","8/28/2018","False","0","","0","95","","","","","","Nose of wet stone, violets. Palate shows iron and minerals, pretty fruit core. Drinking beautifully.","","","","","","",""
"10000044","2014673","Red","2013","Joseph Drouhin Beaune 1er Cru Clos des Mouches Rouge","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Joseph Drouhin","Pinot Noir","Pinot Noir","Rouge","Clos des Mouches","France","Burgundy","Côte de Beaune","Beaune 1er Cru","7/17/2017","False","0","","0","89","","","","","","Nose of rose petal, wet stone. Palate shows earthy depth, taut tannins, iron and minerals. Solid showing.","","","","","","",""
"10000045","73947","Red","1997","A. Rafanelli Zinfandel","USA, California, Sonoma County, Dry Creek Valley","A. Rafanelli","Zinfandel","Zinfandel","Unknown","Unknown","USA","California","Sonoma County","Dry Creek Valley","12/28/2013","False","0","","0","91","","","","","","Nose of raspberry, blackberry, rose petal. Palate shows polished texture, taut tannins. Pleasant if uncomplicated.","","","","","","",""
"10000046","1659625","Red","2012","Jacques-Frédéric Mugnier Chambolle-Musigny","France, Burgundy, Côte de Nuits, Chambolle-Musigny","Jacques-Frédéric Mugnier","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Chambolle-Musigny","6/12/2014","False","0","","0","92","","","","","","Nose of violets, graphite, forest floor. Palate shows structured grip, pretty fruit core, bright acidity. Solid showing.","","","","","","",""
"10000047","1366736","Red","2011","Château Magdelaine","France, Bordeaux, Libournais, Saint-Émilion Grand Cru","Château Magdelaine","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Libournais","Saint-Émilion Grand Cru","10/15/2014","False","0","","0","92","the cellar room","Right Bank vertical — October 2014","90000005","10/15/2014","10/15/2014","Nose of cedar, smoked meat. Palate shows taut tannins, iron and minerals, long savory finish. Outstanding bottle.","","","","","","",""
"10000048","1366736","Red","2011","Château Magdelaine","France, Bordeaux, Libournais, Saint-Émilion Grand Cru","Château Magdelaine","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Libournais","Saint-Émilion Grand Cru","10/15/2014","False","0","","0","91","the cellar room","Right Bank vertical — October 2014","90000005","10/15/2014","10/15/2014","Nose of violets, dark cherry, graphite. Palate shows iron and minerals, structured grip. Pleasant if uncomplicated.","","","","","","",""
"10000049","1366736","Red","2011","Château Magdelaine","France, Bordeaux, Libournais, Saint-Émilion Grand Cru","Château Magdelaine","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Libournais","Saint-Émilion Grand Cru","10/15/2014","False","0","","0","92","the cellar room","Right Bank vertical — October 2014","90000005","10/15/2014","10/15/2014","Nose of violets, rose petal, tobacco leaf. Palate shows earthy depth, long savory finish. Outstanding bottle.","","","","","","",""
"10000050","4406","Red","1989","Château Palmer","France, Bordeaux, Médoc, Margaux","Château Palmer","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux","3/4/2015","False","0","","0","91","","","","","","Nose of tobacco leaf, forest floor. Palate shows long savory finish, polished texture, pretty fruit core. Pleasant if uncomplicated.","","","","","","",""
"10000051","18552","Red","2003","Château Montrose","France, Bordeaux, Médoc, Saint-Estèphe","Château Montrose","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Saint-Estèphe","3/15/2015","False","0","","0","92","","","","","","Nose of violets, graphite. Palate shows polished texture, bright acidity. On track.","","","","","","",""
"10000052","696714","Red","2008","Domaine des Lambrays Clos des Lambrays","France, Burgundy, Côte de Nuits, Clos des Lambrays Grand Cru","Domaine des Lambrays","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos des Lambrays Grand Cru","7/15/2014","False","0","","0","88","the cellar room","Burgundy GC night — July 2014","90000004","7/15/2014","7/15/2014","Nose of violets, forest floor. Palate shows polished texture, earthy depth. Pleasant if uncomplicated.","","","","","","",""
"10000053","528214","Red","2006","Williams Selyem Pinot Noir Hirsch Vineyard","USA, California, Sonoma County, Sonoma Coast","Williams Selyem","Pinot Noir","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","2/27/2014","False","0","","0","90","","","","","","Nose of wet stone, rose petal, cedar. Palate shows pretty fruit core, iron and minerals. On track.","","","","","","",""
"10000054","13435","Red","1982","Heitz Cellar Cabernet Sauvignon Martha's Vineyard","USA, California, Napa Valley, Oakville","Heitz Cellar","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Martha's Vineyard","USA","California","Napa Valley","Oakville","4/15/2014","False","0","","0","88","the cellar room","California Cab vertical — April 2014","90000003","4/15/2014","4/15/2014","Nose of iron filings, smoked meat, graphite. Palate shows taut tannins, long savory finish. Good but not memorable.","","","","","","",""
"10000055","13435","Red","1982","Heitz Cellar Cabernet Sauvignon Martha's Vineyard","USA, California, Napa Valley, Oakville","Heitz Cellar","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Martha's Vineyard","USA","California","Napa Valley","Oakville","4/15/2014","False","0","","0","94","the cellar room","California Cab vertical — April 2014","90000003","4/15/2014","4/15/2014","Nose of graphite, raspberry, cedar. Palate shows iron and minerals, taut tannins. Better than expected.","","","","","","",""
"10000056","901504","Red","2008","Spottswoode Cabernet Sauvignon Estate","USA, California, Napa Valley, St. Helena","Spottswoode","Cabernet Sauvignon","Cabernet Sauvignon","Estate","Unknown","USA","California","Napa Valley","St. Helena","4/9/2014","False","0","","0","89","","","","","","Nose of iron filings, cedar. Palate shows structured grip, pretty fruit core. On track.","","","","","","",""
"10000057","28520","Red","1999","Giacomo Conterno Barolo Cascina Francia","Italy, Piedmont, Langhe, Barolo","Giacomo Conterno","Nebbiolo","Nebbiolo","Unknown","Cascina Francia","Italy","Piedmont","Langhe","Barolo","5/21/2015","False","0","","0","89","","","","","","Nose of smoked meat, violets. Palate shows earthy depth, bright acidity, long savory finish. Good but not memorable.","","","","","","",""
"10000058","2008","Red","2000","Château Lafite Rothschild","France, Bordeaux, Médoc, Pauillac","Château Lafite Rothschild","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac","6/12/2014","False","0","","0","92","","","","","","Nose of rose petal, cedar. Palate shows polished texture, taut tannins. Good but not memorable.","","","","","","",""
"10000059","2008","Red","2000","Château Lafite Rothschild","France, Bordeaux, Médoc, Pauillac","Château Lafite Rothschild","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac","4/15/2015","False","0","","0","85","the cellar room","Bordeaux first-growth flight — April 2015","90000007","4/15/2015","4/15/2015","Past its prime.","","","","","","",""
"10000060","2008","Red","2000","Château Lafite Rothschild","France, Bordeaux, Médoc, Pauillac","Château Lafite Rothschild","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Pauillac","1/15/2015","False","0","","0","94","the cellar room","Bordeaux first-growth flight — January 2015","90000006","1/15/2015","1/15/2015","Nose of wet stone, iron filings, smoked meat. Palate shows iron and minerals, earthy depth. Outstanding bottle.","","","","","","",""
"10000061","1508099","Red","1976","Ridge Cabernet-Merlot Monte Bello","USA, California, Santa Cruz Mountains","Ridge","Red Bordeaux Blend","Red Bordeaux Blend","Cabernet-Merlot","Monte Bello","USA","California","Santa Cruz Mountains","Santa Cruz Mountains","3/8/2017","False","0","","0","92","","","","","","Nose of graphite, violets, wet stone. Palate shows polished texture, structured grip, taut tannins. Solid showing.","","","","","","",""
"10000062","1508099","Red","1976","Ridge Cabernet-Merlot Monte Bello","USA, California, Santa Cruz Mountains","Ridge","Red Bordeaux Blend","Red Bordeaux Blend","Cabernet-Merlot","Monte Bello","USA","California","Santa Cruz Mountains","Santa Cruz Mountains","1/8/2015","False","0","","0","89","","","","","","Nose of wet stone, cedar. Palate shows earthy depth, iron and minerals, bright acidity. Solid showing.","","","","","","",""
"10000063","1508099","Red","1976","Ridge Cabernet-Merlot Monte Bello","USA, California, Santa Cruz Mountains","Ridge","Red Bordeaux Blend","Red Bordeaux Blend","Cabernet-Merlot","Monte Bello","USA","California","Santa Cruz Mountains","Santa Cruz Mountains","10/12/2014","False","0","","0","93","","","","","","Nose of cedar, forest floor. Palate shows earthy depth, iron and minerals. Outstanding bottle.","","","","","","",""
"10000064","2385792","Red","2014","Diamond Creek Cabernet Sauvignon Gravelly Meadow","USA, California, Napa Valley, Diamond Mountain","Diamond Creek","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Gravelly Meadow","USA","California","Napa Valley","Diamond Mountain","4/15/2014","False","0","","0","87","the cellar room","California Cab vertical — April 2014","90000003","4/15/2014","4/15/2014","Disappointing.","","","","","","",""
